horizon_step,physical_time,truth_modal_tie_rate,dense_modal_tie_rate,sparse_modal_tie_rate,persistence_modal_tie_rate
35,3.5,0.014322916666666666,0.0096354166666666654,0.008333333333333335,0.018229166666666668
36,3.6000000000000001,0.015625,0.0082031250000000003,0.0082031250000000003,0.018229166666666668
37,3.7000000000000002,0.013020833333333334,0.0079427083333333329,0.0076822916666666671,0.018229166666666668
38,3.8000000000000003,0.015625,0.0080729166666666657,0.0076822916666666671,0.018229166666666668
39,3.9000000000000004,0.016927083333333332,0.0087239583333333336,0.007161458333333333,0.018229166666666668
40,4,0.015625,0.0080729166666666657,0.0079427083333333346,0.018229166666666668
41,4.1000000000000005,0.014322916666666666,0.0084635416666666678,0.0084635416666666678,0.018229166666666668
42,4.2000000000000002,0.014322916666666666,0.0084635416666666678,0.0072916666666666659,0.018229166666666668
43,4.2999999999999998,0.01171875,0.0085937500000000007,0.0065104166666666661,0.018229166666666668
44,4.4000000000000004,0.0091145833333333339,0.007031250000000001,0.0067708333333333327,0.018229166666666668
45,4.5,0.0078125,0.006510416666666667,0.0062500000000000003,0.018229166666666668
46,4.6000000000000005,0.010416666666666666,0.0059895833333333329,0.0067708333333333344,0.018229166666666668
47,4.7000000000000002,0.0091145833333333339,0.0069010416666666656,0.0067708333333333344,0.018229166666666668
48,4.8000000000000007,0.01171875,0.0074218750000000014,0.0076822916666666671,0.018229166666666668
49,4.9000000000000004,0.013020833333333334,0.0079427083333333329,0.007161458333333333,0.018229166666666668
50,5,0.0091145833333333339,0.0069010416666666673,0.006510416666666667,0.018229166666666668
51,5.1000000000000005,0.0078125,0.0063802083333333332,0.0072916666666666668,0.018229166666666668
52,5.2000000000000002,0.0091145833333333339,0.0061197916666666666,0.0074218749999999997,0.018229166666666668
53,5.3000000000000007,0.005208333333333333,0.0062500000000000003,0.0066406249999999998,0.018229166666666668
54,5.4000000000000004,0.006510416666666667,0.0062500000000000003,0.0072916666666666668,0.018229166666666668
55,5.5,0.005208333333333333,0.0055989583333333334,0.0079427083333333329,0.018229166666666668
56,5.6000000000000005,0.006510416666666667,0.0057291666666666663,0.0079427083333333329,0.018229166666666668
57,5.7000000000000002,0.005208333333333333,0.0054687499999999997,0.0070312500000000002,0.018229166666666668
58,5.8000000000000007,0.005208333333333333,0.0061197916666666666,0.0074218749999999997,0.018229166666666668
59,5.9000000000000004,0.005208333333333333,0.0059895833333333337,0.006510416666666667,0.018229166666666668
60,6,0.0013020833333333333,0.005859375,0.0076822916666666671,0.018229166666666668
61,6.1000000000000005,0.0026041666666666665,0.005859375,0.0074218749999999997,0.018229166666666668
62,6.2000000000000002,0.00390625,0.0054687500000000005,0.0066406249999999998,0.018229166666666668
63,6.3000000000000007,0.0026041666666666665,0.005208333333333333,0.0066406249999999998,0.018229166666666668
64,6.4000000000000004,0.00390625,0.0066406249999999998,0.0063802083333333341,0.018229166666666668
65,6.5,0.0026041666666666665,0.0066406249999999998,0.0061197916666666666,0.018229166666666668
66,6.6000000000000005,0.00390625,0.006510416666666667,0.0063802083333333341,0.018229166666666668
67,6.7000000000000002,0.005208333333333333,0.0070312500000000002,0.0055989583333333334,0.018229166666666668
68,6.8000000000000007,0.005208333333333333,0.0055989583333333334,0.0055989583333333325,0.018229166666666668
