metric_order,metric_name,family,direction,model_seed,dense_h200_cumulative,sparse_h200_cumulative,oriented_absolute_improvement,sparse_better
2,well_area_fraction_tv_error,phase_assignment,lower,64,0.055785751342773443,0.050921198527018229,0.0048645528157552145,true
2,well_area_fraction_tv_error,phase_assignment,lower,65,0.052299474080403641,0.046802368164062497,0.005497105916341144,true
2,well_area_fraction_tv_error,phase_assignment,lower,66,0.057765019734700516,0.050240249633789064,0.0075247701009114529,true
2,well_area_fraction_tv_error,phase_assignment,lower,67,0.049384307861328129,0.050547078450520831,-0.001162770589192702,false
2,well_area_fraction_tv_error,phase_assignment,lower,68,0.053969777425130205,0.05215759277343749,0.0018121846516927151,true
2,well_area_fraction_tv_error,phase_assignment,lower,69,0.053951441446940106,0.050718078613281252,0.0032333628336588538,true
2,well_area_fraction_tv_error,phase_assignment,lower,70,0.048985188802083336,0.048308690388997398,0.00067649841308593806,true
2,well_area_fraction_tv_error,phase_assignment,lower,71,0.051193517049153647,0.053896840413411452,-0.002703323364257805,false
2,well_area_fraction_tv_error,phase_assignment,lower,72,0.05960845947265625,0.054698460896809888,0.0049099985758463624,true
2,well_area_fraction_tv_error,phase_assignment,lower,73,0.057296880086263019,0.049142049153645839,0.0081548309326171797,true
3,interface_edge_disagreement,interface_geometry,lower,64,0.099645830790201825,0.097375322977701836,0.0022705078124999889,true
3,interface_edge_disagreement,interface_geometry,lower,65,0.10041744232177734,0.096171468098958338,0.0042459742228189989,true
3,interface_edge_disagreement,interface_geometry,lower,66,0.098160565694173182,0.094868367513020843,0.0032921981811523393,true
3,interface_edge_disagreement,interface_geometry,lower,67,0.09839134216308594,0.10007597605387369,-0.0016846338907877539,false
3,interface_edge_disagreement,interface_geometry,lower,68,0.098268483479817717,0.096578140258789066,0.0016903432210286506,true
3,interface_edge_disagreement,interface_geometry,lower,69,0.10160303751627604,0.097764587402343742,0.0038384501139323013,true
3,interface_edge_disagreement,interface_geometry,lower,70,0.10055347442626954,0.09799242655436198,0.0025610478719075569,true
3,interface_edge_disagreement,interface_geometry,lower,71,0.097568626403808589,0.096273956298828123,0.0012946701049804665,true
