horizon,model,root_label,subset,depth_stratum,selector,rollout_mode,finite_ratio_iqm,finite_ratio_global_iqm,finite_ratio_n,finite_ratio_n_systems,censored_log10_iqm_ratio,K,N,sign_test_iqm_in_direction,sign_test_iqm_total,sign_test_iqm_p,censor_finite_finite,censor_missing_row_neutral,censor_routed_invalid_global_finite_loss,censor_routed_finite_global_invalid_win,censor_both_invalid_neutral
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Support family,family_local_centered,1.457230510498037,0.025954747147128112,93,14,1.7121350209605782e-32,14,17,16,17,0.0001373291015625,93,22.0,,131.0,9.0
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Basin labels,oracle_basin_local_centered,124121335821839.77,89455649.79073349,89,13,1.2437480760864673e-25,10,17,13,17,0.0245208740234375,89,22.0,4.0,118.0,22.0
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Latent clusters,latent_kmeans_local_centered,0.003349724829063221,0.00025768154899980704,93,14,1.2728427162381387e-35,16,17,16,17,0.0001373291015625,93,22.0,,139.0,1.0
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Random matched,random_count_matched_local_centered,6.151455994105802e-07,2.727117095471217e-06,93,14,4.942593449202864e-36,16,17,16,17,0.0001373291015625,93,22.0,,140.0,
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Support family,family_local_centered,0.013102573778118291,0.0032161739899782644,82,8,2.041306148025507e-39,15,17,17,17,7.62939453125e-06,82,,,173.0,
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Basin labels,oracle_basin_local_centered,0.37091416521440196,2.73810717240812,82,8,3.7142516698116634e-39,15,17,16,17,0.0001373291015625,82,,,163.0,10.0
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Latent clusters,latent_kmeans_local_centered,5.566884992609411e-12,3.846886365845012e-09,82,8,9.45198015312589e-41,16,17,17,17,7.62939453125e-06,82,,,173.0,
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Random matched,random_count_matched_local_centered,0.008389163492874902,0.08148009755655404,79,8,8.995795622376674e-35,16,17,17,17,7.62939453125e-06,79,,3.0,144.0,29.0
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Support family,family_local_centered,9.340113461984169e-05,0.0001274046811857636,65,7,4.080334880645697e-40,15,17,16,17,0.0001373291015625,65,15.0,,175.0,
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Basin labels,oracle_basin_local_centered,1.6694288108435555,643726.6433395462,65,7,5.2820745054392775e-39,14,17,15,17,0.0011749267578125,65,15.0,,164.0,11.0
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Latent clusters,latent_kmeans_local_centered,3.801665607291141e-14,2.8605831293987185e-11,65,7,6.21314621477388e-41,16,17,16,17,0.0001373291015625,65,15.0,,175.0,
1000,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Random matched,random_count_matched_local_centered,0.005945398117333008,0.11102820181457082,61,7,2.408346449424399e-32,15,17,16,17,0.0001373291015625,61,15.0,4.0,136.0,39.0
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,all,all,Support family,family_local_centered,199.5847774727813,0.008088854504263507,36,12,1e-41,17,17,17,17,7.62939453125e-06,36,7.0,,211.0,1.0
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,all,all,Basin labels,oracle_basin_local_centered,0.03593037429208705,2.142286548122786e-09,26,8,1.2131842168889227e-40,13,17,15,17,0.0011749267578125,26,7.0,10.0,174.0,38.0
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,9.47573787462786e-09,1.1331022641132878e-14,36,12,1e-41,17,17,17,17,7.62939453125e-06,36,7.0,,212.0,
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,all,all,Random matched,random_count_matched_local_centered,0.4276058606882239,0.039242110690025145,28,9,7.178543983872769e-21,8,17,11,17,0.1661529541015625,28,7.0,8.0,113.0,99.0
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,deep,deep,Support family,family_local_centered,0.22813860866206692,0.0008653397786718966,35,11,1e-41,16,17,16,17,0.0001373291015625,35,20.0,,194.0,6.0
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,deep,deep,Basin labels,oracle_basin_local_centered,0.03355174300580693,9.68151695193896e-10,25,7,1.900275763390122e-29,11,17,14,17,0.0063629150390625,25,20.0,10.0,158.0,42.0
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,deep,deep,Latent clusters,latent_kmeans_local_centered,7.941422426666547e-10,2.741316514748456e-15,35,11,1e-41,16,17,16,17,0.0001373291015625,35,20.0,,200.0,
