method,horizon,system,seed_iqm_mse,num_seeds
kmeans_hard,100,dysts:QiChen,0.6106672463018846,3
kmeans_hard,100,dysts:Sakarya,2.027587299280128,3
kmeans_hard,100,dysts:SanUmSrisuchinwong,0.7795828509453567,3
kmeans_hard,100,dysts:ShimizuMorioka,12.405013040511975,3
kmeans_hard,100,dysts:WangSun,2.323146870569451,3
kmeans_hard,2000,dysts:Chua,4.395205554118934,3
kmeans_hard,2000,dysts:Dadras,5.101905206746532,3
kmeans_hard,2000,dysts:DequanLi,6.180760850505127,3
kmeans_hard,2000,dysts:Hadley,52.274365628598865,3
kmeans_hard,2000,dysts:LuChenCheng,1.5163949686230703e+151,3
kmeans_hard,2000,dysts:QiChen,5.2607029519812345,3
kmeans_hard,2000,dysts:Sakarya,5.6646603374304965,3
kmeans_hard,2000,dysts:SanUmSrisuchinwong,6.897664733393401,3
kmeans_hard,2000,dysts:ShimizuMorioka,8.411274282796838e+67,3
kmeans_hard,2000,dysts:WangSun,7.008291006865567,3
kmeans_hard,4000,dysts:Chua,5.322799721051305,3
kmeans_hard,4000,dysts:Dadras,5.155780224303597,3
kmeans_hard,4000,dysts:DequanLi,6.7909736785421595,3
kmeans_hard,4000,dysts:Hadley,281893767636.4728,3
kmeans_hard,4000,dysts:QiChen,5.415990880866862,3
kmeans_hard,4000,dysts:Sakarya,167475022610800.4,3
kmeans_hard,4000,dysts:SanUmSrisuchinwong,6.999750923026853,3
kmeans_hard,4000,dysts:ShimizuMorioka,2.856898239592392e+141,3
kmeans_hard,4000,dysts:WangSun,7.165445531206,3
rbf_dictionary_edmd,100,dysts:Chua,0.08414864733430483,3
rbf_dictionary_edmd,100,dysts:Dadras,3.2232238645517755,3
rbf_dictionary_edmd,100,dysts:DequanLi,0.03747813099495031,3
rbf_dictionary_edmd,100,dysts:Hadley,0.02937526476011108,3
rbf_dictionary_edmd,100,dysts:LuChenCheng,0.3583878482803659,3
rbf_dictionary_edmd,100,dysts:QiChen,0.4433450921581678,3
rbf_dictionary_edmd,100,dysts:Sakarya,0.5168867760143686,1
rbf_dictionary_edmd,100,dysts:SanUmSrisuchinwong,0.5657524660097795,3
rbf_dictionary_edmd,100,dysts:ShimizuMorioka,2.053857690133384,3
rbf_dictionary_edmd,100,dysts:WangSun,1.5846747577559175,3
rbf_dictionary_edmd,2000,dysts:Chua,2.525315434588276,3
rbf_dictionary_edmd,2000,dysts:Dadras,2.836582312108471,3
rbf_dictionary_edmd,2000,dysts:DequanLi,2.7150860793881537,3
rbf_dictionary_edmd,2000,dysts:Hadley,2.7998804274486546,3
rbf_dictionary_edmd,2000,dysts:LuChenCheng,2.205541511806088,3
rbf_dictionary_edmd,2000,dysts:QiChen,2.9994211381680915,3
rbf_dictionary_edmd,2000,dysts:Sakarya,2.685174464882084,1
rbf_dictionary_edmd,2000,dysts:SanUmSrisuchinwong,3.4239266797714873,3
rbf_dictionary_edmd,2000,dysts:ShimizuMorioka,2.8487492512046053,3
rbf_dictionary_edmd,2000,dysts:WangSun,3.3767679590177537,3
rbf_dictionary_edmd,4000,dysts:Chua,2.7444371414304602,3
rbf_dictionary_edmd,4000,dysts:Dadras,2.8571176232056956,3
rbf_dictionary_edmd,4000,dysts:DequanLi,2.463475344756355,3
rbf_dictionary_edmd,4000,dysts:Hadley,3.063175875208072,3
rbf_dictionary_edmd,4000,dysts:LuChenCheng,2.4446151204962967,3
rbf_dictionary_edmd,4000,dysts:QiChen,3.0403089480315906,3
rbf_dictionary_edmd,4000,dysts:Sakarya,2.7489934795042568,1
rbf_dictionary_edmd,4000,dysts:SanUmSrisuchinwong,3.367422753942492,3
rbf_dictionary_edmd,4000,dysts:ShimizuMorioka,2.9038655990478617,3
rbf_dictionary_edmd,4000,dysts:WangSun,3.4573495588697725,3
