root_label,label,metric,system,p_raw,p_holm,median_diff
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_var_depth_gradient_4,0.0966796875,0.966796875,0.0037122375832054355
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_var_diamond_4,0.5,1.0,0.0
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_var_l_shape_5,0.052734375,0.685546875,0.04069767441860472
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,gated_local_linear,0.013671875,0.19140625,0.14600539831097004
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,gated_transfer_linear,0.0654296875,0.78515625,0.06345478800873457
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,multiwell_strong_transition,0.080078125,0.880859375,0.03077301936737674
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_arrested_spiral,0.8203125,1.0,-0.012354651162790775
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_cal_asymmetric_3,0.248046875,1.0,0.0019379844961240345
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_cal_hexagon_6,0.037109375,0.59375,0.011994949494949614
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_cal_high_cross_3,0.587890625,1.0,-0.00012135922330092086
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_cal_octagon_8,0.1611328125,1.0,0.005293703870352828
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_cal_pentagon_5,0.384765625,1.0,-0.0006142506142506332
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_cal_square_4,0.5,1.0,0.0
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_checkerboard_potential,0.009765625,0.166015625,0.00614764461765005
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_duffing_triple_well,1.0,1.0,-0.08342417635658915
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_snic_multi,0.58984375,1.0,-0.013665480933064078
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_transition_routes_4,0.5390625,1.0,0.0003185306504907559
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_var_depth_gradient_4,0.533203125,1.0,-0.00025601638504857416
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_var_diamond_4,0.5,1.0,0.0
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,claude_var_l_shape_5,0.5771484375,1.0,-0.02071220930232559
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,gated_local_linear,0.9033203125,1.0,-0.09023633015605714
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,gated_transfer_linear,0.9931640625,1.0,-0.045811505832043437
