root_label,display,system_key,horizon,n_pairs,log10_delta_iqm,log10_delta_median,iqm_ratio_to_dense,candidate_system_iqm,dense_system_iqm,p_raw,p_holm,passes_holm_0p05,reason
lista,LISTA,dysts:LuChenCheng,500,15,-0.43999929846684804,-0.46642767604536806,0.35951905564111064,0.0009095235478265571,0.002529834047891157,0.001678466796875,0.015106201171875,True,
lista,LISTA,dysts:MultiChua,500,15,-0.5425862348245662,-0.541370362301449,0.23993856368433322,0.0010255738161503716,0.004274318393851986,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:QiChen,500,15,-0.7605566810634921,-0.6901361726505568,0.14028478414593182,0.0016441787925681427,0.011720293134983042,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:Sakarya,500,15,-0.43222767889336966,-0.3288074153985918,0.1637801596027524,0.009318429211686715,0.05689595879188601,0.001678466796875,0.015106201171875,True,
lista,LISTA,dysts:SanUmSrisuchinwong,500,15,-0.19105004794901892,-0.13451102327965758,0.6426280668677278,0.004198672316436214,0.006533596232267314,0.06768798828125,0.270751953125,False,
lista,LISTA,dysts:ShimizuMorioka,500,15,-0.3247340148454395,-0.2743160201213626,0.4116215470541646,0.0009812592013206428,0.0023838868697306573,0.0416259765625,0.2081298828125,False,
lista,LISTA,dysts:WangSun,500,15,-0.18291014580476722,-0.1557861014969255,0.7363999863991031,0.013271874748170329,0.018022643934403112,0.075714111328125,0.270751953125,False,
lista,LISTA,dysts:Chua,1000,15,-0.426780903883019,-0.3761414988832916,0.40184524492063095,0.002813382739467214,0.0070011597126722,0.010772705078125,0.075408935546875,False,
lista,LISTA,dysts:Dadras,1000,15,-0.4925448167632544,-0.4572786837688603,0.2637192876690529,0.02510524913668627,0.09519686390246661,0.0062255859375,0.0498046875,True,
lista,LISTA,dysts:DequanLi,1000,15,-0.2510244430883394,-0.23388235118288092,0.5454503319707922,0.009629381820559458,0.017654003043259845,0.000152587890625,0.00152587890625,True,
lista,LISTA,dysts:Hadley,1000,15,0.0012178624507367555,0.004703578094665595,0.6898563620159703,0.008343252087277986,0.012094187350677557,0.511016845703125,0.7197265625,False,
lista,LISTA,dysts:LorenzCoupled,1000,15,-0.17260285360715252,-0.32316200016093355,0.553695104733379,0.05448232325060023,0.09839769718902448,0.35986328125,0.7197265625,False,
lista,LISTA,dysts:LuChenCheng,1000,15,-0.5025577653180021,-0.47181294804763674,0.26069241729323456,0.0026404413594198575,0.010128569855753843,0.000152587890625,0.00152587890625,True,
lista,LISTA,dysts:MultiChua,1000,15,-0.5661396807503043,-0.5906455104878312,0.22751086773592316,0.003944138730210872,0.017336045391857586,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:QiChen,1000,15,-0.8660644652233594,-0.7976166706993382,0.1131710287372467,0.0055123179751847004,0.048707854268806285,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:Sakarya,1000,15,-0.30348322019085977,-0.15186429405549817,0.2633704604085509,0.038645086277808396,0.14673280449850215,0.017669677734375,0.10601806640625,False,
lista,LISTA,dysts:SanUmSrisuchinwong,1000,15,-0.19140902867877715,-0.17479909558653883,0.7925003615593377,0.015502685947077571,0.01956173990453987,0.1038818359375,0.41552734375,False,
lista,LISTA,dysts:ShimizuMorioka,1000,15,-0.30556336488180486,-0.23950539575241914,0.4668087045461137,0.0035192563664167434,0.0075389690298054285,0.060272216796875,0.301361083984375,False,
lista,LISTA,dysts:WangSun,1000,15,-0.17813967796937352,-0.10684095596057486,0.7876829932267962,0.07083453663757866,0.08992772123643324,0.151397705078125,0.454193115234375,False,
lista,LISTA,dysts:Chua,1500,15,-0.46829342254679984,-0.4103897008976176,0.3623771134981431,0.005817045191568914,0.01605246295886377,0.010772705078125,0.075408935546875,False,
lista,LISTA,dysts:Dadras,1500,15,-0.4703379286106358,-0.3615966840199939,0.26869404104415906,0.05868637615016524,0.2184133891548429,0.004180908203125,0.033447265625,True,
lista,LISTA,dysts:DequanLi,1500,15,-0.26569575305830784,-0.28089693654346304,0.4967952265457108,0.01942490214215852,0.039100420262132306,6.103515625e-05,0.0006103515625,True,
lista,LISTA,dysts:Hadley,1500,15,-0.01917380390185088,-0.03294091657593401,0.7107935014050889,0.017852812207170842,0.0251167352710451,0.511016845703125,0.67877197265625,False,
lista,LISTA,dysts:LorenzCoupled,1500,15,-0.21859799524412643,-0.3079195065953736,0.4722365427768162,0.19435160926410128,0.4115556329488754,0.339385986328125,0.67877197265625,False,
lista,LISTA,dysts:LuChenCheng,1500,15,-0.5598495824515257,-0.6172621757056773,0.23805022205743298,0.005563982629350199,0.02337314614227837,6.103515625e-05,0.0006103515625,True,
lista,LISTA,dysts:MultiChua,1500,15,-0.5863957806850122,-0.6221988950138688,0.2450441174568808,0.010426981574190485,0.04255144617387222,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:QiChen,1500,15,-0.90231810457219,-0.9223803986484338,0.12118040045986346,0.015745908953249416,0.12993775308132166,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:Sakarya,1500,15,-0.19628942834612798,-0.07554425476195259,0.3377939668435947,0.09451276330011227,0.27979411291224615,0.04730224609375,0.2838134765625,False,
