root_label,label,horizon,system,p_raw_t,p_holm_t,p_raw_w,p_holm_w,mean_diff_log10,median_diff_log10,hl_diff_log10,lo_log10,hi_log10,n_seeds
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_checkerboard_potential,0.9290918164206313,1.0,0.8388671875,1.0,6.4553416316297145,0.39196725745158645,0.4617792630236749,-3.1738099150637487,18.801291765653453,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_duffing_triple_well,1.5797401587048136e-05,0.00011058181110933695,0.0009765625,0.0166015625,-0.8758267674474919,-0.8400937702752749,-0.8776970555466639,-1.1101129428667538,-0.7584714659801715,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_snic_multi,4.737852619063613e-09,7.10677892859542e-08,0.0009765625,0.0166015625,-2.460374723795284,-2.370078742928165,-2.4666251323990025,-2.886733203882303,-2.2026074131768896,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_transition_routes_4,5.120586839158211e-06,5.632645523074033e-05,0.0009765625,0.0166015625,-1.560316020508624,-1.482946487451621,-1.4739942341603276,-1.8298792389892538,-1.2356324375566377,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_var_depth_gradient_4,1.181709217771389e-05,0.00010625767001011916,0.0009765625,0.0166015625,-1.8099320028854557,-1.938546948757452,-1.9754601890244117,-2.287253270949795,-1.2094428916688778,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_var_diamond_4,8.258149985097303e-05,0.00033032599940389213,0.0009765625,0.0166015625,-1.5532375056753005,-1.6708430275999,-1.6130160179517548,-2.1918811733613386,-0.8989550934174897,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_var_l_shape_5,5.094713194304012e-05,0.00025473565971520057,0.0009765625,0.0166015625,-1.8899993450349037,-1.855727704741361,-1.9838948430242112,-2.5330813416752584,-1.1286964378830655,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,gated_local_linear,3.3363545972792246e-11,5.671802815374682e-10,0.0009765625,0.0166015625,-2.264563623882592,-2.233796227790706,-2.269976195198365,-2.4735564888585455,-2.11670559165976,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,gated_transfer_linear,0.8102434164294369,1.0,0.052734375,0.158203125,1.854656765817321,-0.11306709058683917,-0.13745920491625177,-0.22396819492244585,-0.056208937812802215,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,multiwell_strong_transition,0.9999751678268273,1.0,0.9990234375,1.0,23.899249640122665,25.01640984796419,25.09478273497161,21.27278485073269,31.79491422076824,10
