root_label,display,system_key,horizon,candidate_system_iqm,dense_system_iqm,ratio_to_dense,log10_ratio_to_dense
lista_bd,LISTA-BD,dysts:Chua,4000,0.025472756741302314,0.11857637975897105,0.2148215082386603,-0.6679222386068517
lista_bd,LISTA-BD,dysts:Dadras,4000,0.6827419527939388,1.2399299485342843,0.5506294558019226,-0.25914055983323864
lista_bd,LISTA-BD,dysts:DequanLi,4000,0.21736096484320502,0.4527665504387447,0.4800729308129666,-0.3186927812834615
lista_bd,LISTA-BD,dysts:Hadley,4000,0.15420359053782048,0.16126293476138795,0.9562246325604034,-0.01944007297314253
lista_bd,LISTA-BD,dysts:LuChenCheng,4000,0.036354465410113286,0.12619167992046898,0.2880892419613188,-0.5404729591582188
lista_bd,LISTA-BD,dysts:QiChen,4000,0.3221683310610907,1.1026007618222917,0.29218946895033543,-0.5343354408971945
lista_bd,LISTA-BD,dysts:Sakarya,4000,0.8165873544556754,1.2937675288745336,0.6311700798102702,-0.19985359674616823
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,4000,0.45678031870297026,0.7841893264225551,0.5824872939635464,-0.23471354364392313
lista_bd,LISTA-BD,dysts:ShimizuMorioka,4000,0.1744725012353488,0.22395080753735133,0.7790661849087087,-0.10842564563981963
lista_bd,LISTA-BD,dysts:WangSun,4000,1.9645424059459142,2.040542875017439,0.9627547796216362,-0.016484316633406194
lista_bd,LISTA-BD,dysts:Chua,5000,0.04467774368822571,0.21363757124968938,0.20912868193960368,-0.6795863997319949
lista_bd,LISTA-BD,dysts:Dadras,5000,1.0177471382277352,1.6712915216173445,0.6089584761626982,-0.21541232015568446
lista_bd,LISTA-BD,dysts:DequanLi,5000,0.3999227413109371,0.8335135919707162,0.4798035031023076,-0.31893658552106885
lista_bd,LISTA-BD,dysts:Hadley,5000,0.25783309979098185,0.25506724842957085,1.0108436162558703,0.004683972751809849
lista_bd,LISTA-BD,dysts:LuChenCheng,5000,0.07369325948613024,0.20063637835638862,0.3672975962276869,-0.4349819138775959
lista_bd,LISTA-BD,dysts:QiChen,5000,0.5587556489876339,1.475971255983625,0.3785681101325139,-0.4218559729839319
lista_bd,LISTA-BD,dysts:Sakarya,5000,1.3034093550273351,1.6969769171306066,0.7680772448167715,-0.11459510117847795
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,5000,0.7294712747846331,1.2132920282227653,0.6012330566888875,-0.2209571492712569
lista_bd,LISTA-BD,dysts:ShimizuMorioka,5000,0.3587568998336792,0.514841513974326,0.696829781779349,-0.15687329630975833
lista_bd,LISTA-BD,dysts:WangSun,5000,2.66519934790475,2.677452462060111,0.9954235922657866,-0.001992070373764792
lista_sb,LISTA-SB,dysts:Chua,100,0.00012062261625287819,0.00011367587181403259,1.0611101047917195,0.025760450275050334
lista_sb,LISTA-SB,dysts:Dadras,100,0.0004267396496808143,0.0007269466212683999,0.5870302401794305,-0.23133952600147692
lista_sb,LISTA-SB,dysts:DequanLi,100,0.0003453315127573857,0.0004072439727938285,0.8479720654631109,-0.07161845436480857
lista_sb,LISTA-SB,dysts:Hadley,100,0.00023085559119598575,0.0003209318082163857,0.7193291075727004,-0.1430723656655166
lista_sb,LISTA-SB,dysts:LuChenCheng,100,0.00012607244467025604,0.00013874083379046198,0.9086902624548242,-0.041584125831927596
lista_sb,LISTA-SB,dysts:QiChen,100,0.0003459569041816428,0.0008931479283740858,0.38734558205988734,-0.4119013930932925
lista_sb,LISTA-SB,dysts:Sakarya,100,0.001134600515277743,0.006908113427925799,0.1642417321480509,-0.7845164833989506
lista_sb,LISTA-SB,dysts:SanUmSrisuchinwong,100,0.000557091124522043,0.0005597402840586142,0.9952671629825132,-0.002060324445367275
lista_sb,LISTA-SB,dysts:ShimizuMorioka,100,0.0003596882597775714,0.0001380290164628504,2.6058887398823067,0.41595586928651407
lista_sb,LISTA-SB,dysts:WangSun,100,0.0012030605326539285,0.0008310555796404571,1.4476294511787207,0.16065740999453115
lista_sb,LISTA-SB,dysts:Chua,500,0.0014741018281450855,0.0018645639730882856,0.7905879601993618,-0.10204980377852099
lista_sb,LISTA-SB,dysts:Dadras,500,0.010862220477844945,0.011152160087866386,0.9740014842203623,-0.01144038132649522
lista_sb,LISTA-SB,dysts:DequanLi,500,0.005445497509624214,0.0051409941765346145,1.0592304372721262,0.0249904518439298
lista_sb,LISTA-SB,dysts:Hadley,500,0.0036653192447764,0.0036186023415730995,1.0129102064259958,0.005570947253501338
lista_sb,LISTA-SB,dysts:LuChenCheng,500,0.0018830578275290427,0.002529834047891157,0.7443404554930154,-0.12822837611774843
lista_sb,LISTA-SB,dysts:QiChen,500,0.003818134976816986,0.011720293134983042,0.32577128684781065,-0.48708719661769584
lista_sb,LISTA-SB,dysts:Sakarya,500,0.017956693922834686,0.05689595879188601,0.3156057882514409,-0.5008550403719685
lista_sb,LISTA-SB,dysts:SanUmSrisuchinwong,500,0.0064506928569504,0.006533596232267314,0.9873112184515656,-0.005545928230641078
lista_sb,LISTA-SB,dysts:ShimizuMorioka,500,0.005551257569875014,0.0023838868697306573,2.3286581424487736,0.367105736819196
lista_sb,LISTA-SB,dysts:WangSun,500,0.03099896559225656,0.018022643934403112,1.720001000135345,0.23552869943844149
lista_sb,LISTA-SB,dysts:Chua,1000,0.004637794436088601,0.0070011597126722,0.6624323149912044,-0.17885848981006303
lista_sb,LISTA-SB,dysts:Dadras,1000,0.07505022681185171,0.09519686390246661,0.7883686892116949,-0.1032706324552681
lista_sb,LISTA-SB,dysts:DequanLi,1000,0.017537072433957,0.017654003043259845,0.9933765385099167,-0.0028861013530798152
lista_sb,LISTA-SB,dysts:Hadley,1000,0.011631576211324714,0.012094187350677557,0.9617492993998538,-0.016938121389109835
lista_sb,LISTA-SB,dysts:LuChenCheng,1000,0.005755638969795985,0.010128569855753843,0.5682578144560378,-0.24545458331649567
lista_sb,LISTA-SB,dysts:QiChen,1000,0.015376081158007843,0.048707854268806285,0.31567970687337515,-0.50075333535891
lista_sb,LISTA-SB,dysts:Sakarya,1000,0.076858835827027,0.14673280449850215,0.5238013141622436,-0.2808334163103766
lista_sb,LISTA-SB,dysts:SanUmSrisuchinwong,1000,0.017627808930618383,0.01956173990453987,0.9011370673897641,-0.04520914566514087
lista_sb,LISTA-SB,dysts:ShimizuMorioka,1000,0.021784662402101883,0.0075389690298054285,2.8896076261854757,0.4608388748148554
lista_sb,LISTA-SB,dysts:WangSun,1000,0.14293469488620753,0.08992772123643324,1.5894397514022527,0.20124407038891737
lista_sb,LISTA-SB,dysts:Chua,1500,0.0105524345168045,0.01605246295886377,0.657371678342837,-0.18218901063525939
lista_sb,LISTA-SB,dysts:Dadras,1500,0.2067979755146163,0.2184133891548429,0.9468191318985855,-0.023732975083853924
