root_label,display,system_key,horizon,n_seeds,mse_iqm,mse_log10_iqm,mse_median,mse_q25,mse_q75,full_finite_iqm,full_finite_min
lista,LISTA,dysts:Sakarya,1000,15,0.038645086277808396,-1.4418385832374803,0.0316908694803714,0.0176716493442654,0.06931143999099726,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,1000,15,0.015502685947077571,-1.847173972484821,0.0154871456325054,0.00586068420670925,0.025016563944518552,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,1000,15,0.0035192563664167434,-2.528162816613013,0.0023031949531286,0.0020482146646827,0.013062852900475201,1.0,1.0
lista,LISTA,dysts:WangSun,1000,15,0.07083453663757866,-1.2023052530210463,0.0498054027557373,0.03216074965894215,0.17218977212905878,1.0,1.0
lista,LISTA,dysts:Chua,1500,15,0.005817045191568914,-2.2385789362920447,0.0061766179278492,0.00452646031044415,0.00694399396888905,1.0,1.0
lista,LISTA,dysts:Dadras,1500,15,0.05868637615016524,-1.2422442122133748,0.0552307665348053,0.04499221779406065,0.0989415235817432,1.0,1.0
lista,LISTA,dysts:DequanLi,1500,15,0.01942490214215852,-1.7158371830113162,0.0190119091421365,0.014871873892843699,0.0234696809202432,1.0,1.0
lista,LISTA,dysts:Hadley,1500,15,0.017852812207170842,-1.7509391106169676,0.0186189971864223,0.014432496391236699,0.0209076786413788,1.0,1.0
lista,LISTA,dysts:LuChenCheng,1500,15,0.005563982629350199,-2.2610338343651324,0.0051477295346558,0.00414397334679955,0.007386217825114651,1.0,1.0
lista,LISTA,dysts:QiChen,1500,15,0.015745908953249416,-1.8294798272466963,0.0147192319855093,0.008928326889872551,0.02575296536087985,1.0,1.0
lista,LISTA,dysts:Sakarya,1500,15,0.09451276330011227,-1.060542442878316,0.0995933264493942,0.0472967326641082,0.17353676259517664,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,1500,15,0.034706645246062914,-1.4951769689550527,0.0306751988828182,0.014574519358575299,0.0645487233996391,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,1500,15,0.006906815205833686,-2.2178379147142793,0.0049860347062349,0.00400912179611615,0.0488406382501125,1.0,1.0
lista,LISTA,dysts:WangSun,1500,15,0.202799063708101,-0.7451084320407115,0.1570118963718414,0.09252787381410596,0.35047265887260437,1.0,1.0
lista,LISTA,dysts:Chua,2000,15,0.0096108878829649,-2.0191527251571073,0.0099000362679362,0.0081894667819142,0.01141695631667965,1.0,1.0
lista,LISTA,dysts:Dadras,2000,15,0.10795802410159785,-0.9821663301844136,0.0954350754618644,0.07539138197898859,0.21242206543684006,1.0,1.0
lista,LISTA,dysts:DequanLi,2000,15,0.03481411162231646,-1.461919266160561,0.0340904220938682,0.02703088801354165,0.04252410121262065,1.0,1.0
lista,LISTA,dysts:Hadley,2000,15,0.0319608149251767,-1.4983497655708795,0.0335577502846717,0.02663388010114425,0.0363203268498182,1.0,1.0
lista,LISTA,dysts:LuChenCheng,2000,15,0.01058977303494294,-1.9839602320067373,0.0109761897474527,0.006741110002621949,0.013989365659654099,1.0,1.0
lista,LISTA,dysts:QiChen,2000,15,0.04344254146729192,-1.4363939293383332,0.0389396995306015,0.0185000710189342,0.09908610209822649,1.0,1.0
lista,LISTA,dysts:Sakarya,2000,15,0.2171143293380737,-0.6941364765278814,0.2207909226417541,0.1026276424527168,0.341184064745903,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,2000,15,0.07080986989395953,-1.1946805299037482,0.0820636376738548,0.0250544780865311,0.1266933605074882,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,2000,15,0.0117715871892869,-1.969793988134137,0.0084974989295005,0.0070907808840273995,0.0835267612710595,1.0,1.0
lista,LISTA,dysts:WangSun,2000,15,0.43390774726867676,-0.39707212701859657,0.4878571629524231,0.17665904015302655,0.6100291907787323,1.0,1.0
lista,LISTA,dysts:Chua,3000,15,0.020530645602515725,-1.6887784306457445,0.020816333591938,0.01624279981479045,0.0228127464652061,1.0,1.0
lista,LISTA,dysts:Dadras,3000,15,0.32020972456250874,-0.5027113177599507,0.3062445819377899,0.25010610371828074,0.4555647522211075,1.0,1.0
lista,LISTA,dysts:DequanLi,3000,15,0.09901073149272369,-1.0092667092831062,0.1027750894427299,0.0662830770015716,0.11979085206985471,1.0,1.0
lista,LISTA,dysts:Hadley,3000,15,0.0786982891815049,-1.107051474629729,0.0761394053697586,0.06642370298504824,0.10409513115882871,1.0,1.0
lista,LISTA,dysts:LuChenCheng,3000,15,0.023810653015971132,-1.630535362949517,0.0227238629013299,0.01828014384955165,0.03203647490590805,1.0,1.0
lista,LISTA,dysts:QiChen,3000,15,0.16652042205844603,-0.7906141728951663,0.1680895388126373,0.09092693403363225,0.24526873230934143,1.0,1.0
lista,LISTA,dysts:Sakarya,3000,15,0.5250298806599208,-0.2917797141541255,0.4982911348342895,0.2976412996649742,0.8251017332077026,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,3000,15,0.2387047718678202,-0.6819562059096417,0.2354796528816223,0.0799620375037193,0.4110099673271179,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,3000,15,0.03738593044025552,-1.46192081891257,0.0285529550164937,0.0208143154159188,0.22505308687686915,1.0,1.0
lista,LISTA,dysts:WangSun,3000,15,0.8348675966262817,-0.09553630248676871,0.7098685503005981,0.6024549901485443,1.4325350522994995,1.0,1.0
lista,LISTA,dysts:Chua,4000,15,0.037809120225054824,-1.4251634268372473,0.0394948422908782,0.027418472804129047,0.0439322274178266,1.0,1.0
lista,LISTA,dysts:Dadras,4000,15,0.6855026313236782,-0.1709623223159062,0.6002635359764099,0.5510723292827606,0.884848028421402,1.0,1.0
lista,LISTA,dysts:DequanLi,4000,15,0.2481766981737954,-0.6138319906015451,0.2610116899013519,0.1492950022220611,0.31458720564842224,1.0,1.0
lista,LISTA,dysts:Hadley,4000,15,0.1474792797650609,-0.8344721404858125,0.1451850831508636,0.1239010021090507,0.20344228297472,1.0,1.0
lista,LISTA,dysts:LuChenCheng,4000,15,0.04636441171169275,-1.3353785463282233,0.0473831556737422,0.0376139767467975,0.05537712015211575,1.0,1.0
lista,LISTA,dysts:QiChen,4000,15,0.3646620682307652,-0.4497810084570964,0.3860509395599365,0.21354609727859492,0.49925942718982697,1.0,1.0
lista,LISTA,dysts:Sakarya,4000,15,0.901514640876225,-0.05168718326830319,0.8526512980461121,0.5115662962198257,1.2611331343650818,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,4000,15,0.5164207475525993,-0.29332505611573556,0.5111280679702759,0.3921880722045898,0.8122318983078003,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,4000,15,0.12209840651069363,-0.9337612604229616,0.1127641499042511,0.07922919467091555,0.5091675668954849,1.0,1.0
lista,LISTA,dysts:WangSun,4000,15,1.452980637550354,0.16019737048060642,1.4420112371444702,1.2296620607376099,1.9242876172065735,1.0,1.0
lista,LISTA,dysts:Chua,5000,15,0.06319315997617583,-1.2023547694211278,0.063045434653759,0.0442342776805162,0.0777024663984775,1.0,1.0
lista,LISTA,dysts:Dadras,5000,15,1.057684404509408,0.021871581091195587,1.058526873588562,0.8760803937911987,1.2698259353637695,1.0,1.0
lista,LISTA,dysts:DequanLi,5000,15,0.44963587181908743,-0.35409398838216727,0.4469678401947021,0.30034349858760834,0.6041694581508636,1.0,1.0
lista,LISTA,dysts:Hadley,5000,15,0.24271233592714578,-0.6199534758093581,0.2297606617212295,0.18580125272274015,0.33966186642646784,1.0,1.0
lista,LISTA,dysts:LuChenCheng,5000,15,0.07414182381970537,-1.1307011214276936,0.0749224200844764,0.06743221357464785,0.0898765549063682,1.0,1.0
lista,LISTA,dysts:QiChen,5000,15,0.5637009825025286,-0.25710680593773727,0.5769096612930298,0.41733118891716003,0.7349905371665955,1.0,1.0
lista,LISTA,dysts:Sakarya,5000,15,1.2597938861165727,0.09142016890116754,1.2526280879974363,0.7288158535957336,1.765133559703827,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,5000,15,0.8236418110983712,-0.0881630853303733,0.8545978665351868,0.6565285623073578,1.2049415707588196,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,5000,15,0.3063695856503078,-0.5197192079237485,0.3078957200050354,0.201903223991394,0.8428405821323396,1.0,1.0
lista,LISTA,dysts:WangSun,5000,15,2.0525612149919783,0.31146739175653665,2.1000571250915527,1.844660460948944,2.391276001930237,1.0,1.0
lista_bd,LISTA-BD,dysts:Chua,100,15,6.0770703255132374e-05,-4.219315080989114,6.28547859378159e-05,4.7486242692684755e-05,7.1603266405873e-05,1.0,1.0
lista_bd,LISTA-BD,dysts:Dadras,100,15,0.0003254567522422143,-3.4945370659400323,0.0003142241621389,0.00024575366842325,0.00048561938456255006,1.0,1.0
lista_bd,LISTA-BD,dysts:DequanLi,100,15,0.00020281293628998572,-3.693695951170405,0.0002016133075812,0.0001787649234756,0.00022237269149625,1.0,1.0
lista_bd,LISTA-BD,dysts:Hadley,100,15,0.00016988218703767143,-3.773971358140912,0.0001613846397958,0.0001370882891933,0.0002562575755291,1.0,1.0
lista_bd,LISTA-BD,dysts:LuChenCheng,100,15,8.660046400368677e-05,-4.066998363932545,8.85960616869852e-05,6.848908742540516e-05,0.00010726154869185,1.0,1.0
lista_bd,LISTA-BD,dysts:QiChen,100,15,0.00014840790078902855,-3.831876029598493,0.0001535067567601,0.0001228000801347,0.00021925367036595002,1.0,1.0
lista_bd,LISTA-BD,dysts:Sakarya,100,15,0.0009363548431012714,-3.0704055267529844,0.0009366734884679,0.00034511226112945,0.0019843768095597,1.0,1.0
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,100,15,0.00020302762485302858,-3.7089305648652657,0.0001723665918689,0.00014905950229145,0.00033697014441704995,1.0,1.0
