root_label,display,horizon,n_systems,cross_system_mean,cross_system_log10_iqm_mean,cross_system_log_iqm_geomean,system_q25,system_q75,system_median,seed_bootstrap_ci95_low,seed_bootstrap_ci95_high,seed_bootstrap_se,log_relative_seed_bootstrap_ci95_low,log_relative_seed_bootstrap_ci95_high,log_relative_seed_bootstrap_se_log10,system_bootstrap_ci95_low,system_bootstrap_ci95_high,system_bootstrap_se,log_seed_bootstrap_ci95_low,log_seed_bootstrap_ci95_high,log_seed_bootstrap_se_log10,seed_bootstrap_reps,full_finite_mean,full_finite_iqm
lista_sb,LISTA-SB,500,10,0.01047755538667,-2.255562130393,0.005551851863581,0.003956434808464,0.01147523028905,0.005909193365369,0.00791847496038,0.05204255867811,0.02702513956149,0.008769911023154,0.02041712565061,0.09575640064564,0.004736428782506,0.01802906610469,0.003482029386323,0.00481339312212,0.007657760005938,0.05119828879223,10000,1,1
lista_sb,LISTA-SB,1000,10,0.04739810650547,-1.685710252298,0.02062005159841,0.01331104314886,0.06933421862777,0.020716763205,0.03456043800999,1.554728003972,4.990941491387,0.03869769694118,0.1138743204685,0.1225451192624,0.01780760002504,0.08783603946808,0.01804808484826,0.01769463049941,0.02946904828305,0.05628808778066,10000,1,1
lista_sb,LISTA-SB,1500,10,0.1091719244296,-1.320391938002,0.0478198337588,0.02806279704803,0.1689435161081,0.04945525713265,0.08607618943219,149.0024074551,2811.662477564,0.08881299346987,0.4049467279196,0.1727823095411,0.04231480886565,0.1899211876262,0.03872438761186,0.04050563544186,0.07217277729953,0.06352457053612,10000,1,1
lista_sb,LISTA-SB,2000,10,0.1816427939054,-1.04542723811,0.09006846512154,0.04882121525912,0.2838014090537,0.1173870112333,0.1486185243051,15162.89478222,1267174.632384,0.1493761645457,1.076397015757,0.2334069052358,0.0824898003911,0.2964502673058,0.05502574033265,0.07699608849453,0.144766042576,0.06912006346213,10000,1,1
lista_sb,LISTA-SB,3000,10,0.4303226988763,-0.6212050643807,0.2392185951668,0.117515489666,0.6852855682373,0.3970260067532,0.3645265425669,249061148.2952,352468671925.2,0.3556834092791,5.862704789516,0.3627570615509,0.2309684819832,0.6498572115383,0.1082088289298,0.2061419049569,0.4329264093182,0.08281739099878,10000,1,1
lista_sb,LISTA-SB,4000,10,0.7436630556153,-0.3375682019681,0.4596547982893,0.2456027770208,1.136199108428,0.7138965924581,0.6475368887828,1.137182144667e+13,1.140482662512e+17,0.6374090261751,23.5720421032,0.4999294459624,0.4325914761196,1.088124682046,0.1692032386573,0.4062436297972,0.9655373269828,0.09986862643875,10000,1,1
lista_sb,LISTA-SB,5000,10,1.057746553421,-0.1436332611825,0.7184006867456,0.4406875624425,1.610905658868,1.014031991363,0.9496082517287,5.552806399152e+17,4.493427486843e+22,0.9262479237156,89.78792493601,0.6479157913945,0.6439074721932,1.487971514575,0.2169096930372,0.6434384470488,1.775495069837,0.120102304227,10000,1,1
sparse_mlp,Sparse MLP,100,10,0.0002375875155849,-3.732932161262,0.0001849557505559,0.0001172072336177,0.0002936436240917,0.0001861339802012,0.000211078763445,0.001006140870365,0.0002191369538239,0.0002174751995183,0.0003260615105587,0.05008831216947,0.0001469019331792,0.0003437249779431,5.005392264643e-05,0.0001695196378866,0.0002201385053173,0.02853492555236,10000,1,1
sparse_mlp,Sparse MLP,500,10,0.004414922568119,-2.524315705983,0.00299009023051,0.001726912473613,0.006069938969126,0.003138666118806,0.003607155458788,0.01480435301619,0.003108371448145,0.003937048063066,0.005938963002502,0.0482642757105,0.002365146918811,0.006756320638233,0.001123370645372,0.002713157004097,0.003577468874311,0.03080437175073,10000,1,1
sparse_mlp,Sparse MLP,1000,10,0.01876651440463,-1.943145493117,0.01139867856137,0.005601330388648,0.02498969914288,0.01202508553656,0.01526613956162,0.04734322825993,0.008518888128262,0.01664912545249,0.02556699162699,0.04952817611361,0.008944009594108,0.03027989251746,0.005474677995454,0.01014700726797,0.01379181797886,0.03385172805952,10000,1,1
sparse_mlp,Sparse MLP,1500,10,0.06373515156512,-1.536905076026,0.02904657457598,0.01193828082695,0.05986306045411,0.02640227895851,0.05016968523902,0.105798358779,0.01420041965691,0.05597308706879,0.08160442856895,0.04299387934336,0.02098108258461,0.1169968817832,0.02504865361348,0.02529704838216,0.03446811891104,0.03396779751731,10000,1,1
sparse_mlp,Sparse MLP,2000,10,0.1217907555712,-1.257792367538,0.05523414458681,0.02247106082117,0.1187258806701,0.05155682222297,0.1022227043133,0.176287183355,0.01855824425513,0.1060173435941,0.1534044925616,0.04141649177554,0.04192022603497,0.2280178094208,0.04838790343305,0.04884059998488,0.06551585781505,0.03251821843067,10000,1,1
sparse_mlp,Sparse MLP,3000,10,0.2808302256382,-0.837584158359,0.1453502695971,0.05767750243346,0.3734730562816,0.1427681833092,0.2415734426786,0.3584979641872,0.02964106286312,0.2470086462929,0.3360092202771,0.03428592191548,0.1225982431115,0.488133491345,0.09430144379435,0.1281984464756,0.1695730805922,0.03132357710253,10000,1,1
sparse_mlp,Sparse MLP,4000,10,0.5062896289345,-0.5164836465389,0.3044502629328,0.1476995042629,0.7056651645237,0.3527452449004,0.453249212596,0.583566903875,0.03311901305143,0.448010032755,0.5724014719093,0.02721502439985,0.25556527936,0.8066900663461,0.1429023060611,0.269493728888,0.343933789617,0.02668891692952,10000,1,1
sparse_mlp,Sparse MLP,5000,10,0.7738143172115,-0.2847380913106,0.519113004495,0.3307193285889,1.121515500877,0.6038082953956,0.711353103711,0.8568866043196,0.03757766024207,0.6948800987263,0.8607641822132,0.02344609431359,0.4290275787583,1.167603397249,0.1890614026999,0.4671312401336,0.576463520042,0.02336778375292,10000,1,1
sparse_mlp_bd,Sparse MLP-BD,100,10,0.0005060421750386,-3.786466020114,0.0001635061075885,7.059858196751e-05,0.0002054423643534,0.0001414870692113,0.0002515594291192,0.002062431630564,0.0004789850965198,0.0004153149618342,0.0007230928653164,0.06504038149574,0.000105302051462,0.001099455814368,0.0002775521841235,0.0001433138227101,0.0002045600604977,0.04025421556319,10000,1,1
sparse_mlp_bd,Sparse MLP-BD,500,10,0.01068885470805,-2.576289402768,0.002652837189785,0.0009880801274751,0.004994359559431,0.002144330970219,0.005275328173545,0.03353161627795,0.007605802358663,0.009057196705567,0.01503188487345,0.05910555654935,0.001641607707327,0.02563287407144,0.006910868753988,0.002326349563693,0.003300730641262,0.03872844531596,10000,1,1
sparse_mlp_bd,Sparse MLP-BD,1000,10,0.03409620132685,-2.027607311304,0.009384101330644,0.003363049912473,0.02997765931973,0.006689527718764,0.0189683297022,0.07998440983476,0.01604295275395,0.02941469370867,0.04558725366034,0.04986403176889,0.006084277801662,0.08009281557053,0.02058378224682,0.008330100116892,0.0114552229557,0.03546174468624,10000,1,1
sparse_mlp_bd,Sparse MLP-BD,1500,10,0.07368761664256,-1.686540700804,0.020580660056,0.007651728616717,0.07635897454909,0.0146604190684,0.04545365272032,0.1459814925241,0.02638227859014,0.06308538212009,0.09504258780816,0.04626441726926,0.01237159812383,0.1643335288697,0.04196781800077,0.01813470615711,0.02482287231346,0.03504347964455,10000,1,1
