system_key,system_name,seed,run_dir,status,current_coverage,family_count_retained,family_count_total,persistent_coverage,transition_count,elapsed_seconds,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,matrix_leakage_true,matrix_leakage_null,matrix_leakage_true_over_null,activity_change_leakage_true,activity_change_leakage_null,activity_change_leakage_true_over_null,matrix_change_leakage_true,matrix_change_leakage_null,matrix_change_leakage_true_over_null,restricted_inside_residual_true,restricted_inside_residual_null,restricted_inside_residual_true_over_null,encoded_next_outside_true,encoded_next_outside_null,encoded_next_outside_true_over_null,global_over_identity_true,global_over_identity_null,global_over_identity_true_over_null,operator_distance_true,operator_distance_null,operator_distance_true_over_null
claude:cal_high_cross_3,claude_cal_high_cross_3,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_high_cross_3/dt_0p03/seed_1/20260430-230524,eligible,0.98876953125,4,6,0.9808349609375,8100,13.351537227630615,0.005455109938564479,0.12002638734256926,0.045449255445762615,0.028050835834369202,0.12434241859877325,0.2255934551577554,0.31396935932757764,0.7639648253009583,0.4109735801041517,0.5697276770935723,0.7722903273470679,0.7377117865125562,0.014991708744369286,0.10304686531355682,0.14548437450039522,0.043739464388193795,0.043739464388193795,1.0,0.8634115564257181,8.661751632906025,0.09968094134050376,0.9062310532260578,0.9115927411599352,0.9941183297191957
claude:cal_high_cross_3,claude_cal_high_cross_3,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_high_cross_3/dt_0p03/seed_2/20260430-230524,eligible,0.9534912109375,4,9,0.947265625,7811,13.154396057128906,0.005360287820051736,0.2601829897609515,0.02060199179422379,0.05987641093509336,0.26484883988416946,0.2260776787290443,0.3152089223922388,0.7942248736231544,0.39687616550498495,0.4916226716569921,0.7927397394457197,0.6201564614393276,0.011191521722956135,0.1977558872457451,0.05659260959977782,0.03322969488746271,0.03322969488746271,1.0,0.6036927883503505,17.578658627674464,0.03434236941150582,0.9780728998814984,0.9898515890046994,0.9881005503713496
claude:cal_octagon_8,claude_cal_octagon_8,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_octagon_8/dt_0p03/seed_0/20260430-231742,eligible,0.9442138671875,5,11,0.9407958984375,7735,13.181414604187012,0.005350557338924286,0.13036401363612238,0.04104320808853731,0.041823531050696756,0.14814873078585755,0.2823077243311036,0.4024098440748037,0.7534954890311232,0.5340574030406466,0.5946203122419568,0.7612943277286913,0.7810649450338036,0.012049015848461186,0.11573737357904783,0.10410652562658847,0.09011746122694599,0.09011746122694596,1.0000000000000002,1.109935125165993,17.41540340118597,0.06373295522344362,0.9179388852505607,0.9238638759558777,0.9935867275910244
claude:cal_octagon_8,claude_cal_octagon_8,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_octagon_8/dt_0p03/seed_1/20260430-231743,eligible,0.9683837890625,6,9,0.9599609375,7933,12.107229471206665,0.005434223695553724,0.2321003494914697,0.023413250809230023,0.05716572283580941,0.24497787835004411,0.2333505507551438,0.37519010617447734,0.766931422695097,0.4892094587231938,0.5663551819899606,0.769347193827356,0.73615031878189,0.011628439833372087,0.1911832434568848,0.06082353046800624,0.08841169597638636,0.08841169597638636,1.0,0.8219202816976912,26.595701284104567,0.030904253018848863,0.947805020772318,0.9595503779741683,0.9877595200091032
claude:cal_octagon_8,claude_cal_octagon_8,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_octagon_8/dt_0p03/seed_2/20260430-231748,eligible,0.9615478515625,6,9,0.9573974609375,7877,10.432116985321045,0.005590608005400943,0.20654095649439785,0.027067793721351246,0.05895151003070836,0.2079999275070209,0.2834208200804228,0.4332489187459281,0.7756226445468659,0.5585820911650158,0.5736721519391237,0.7792235517802318,0.7362099754666029,0.01010891096382235,0.17733363902495408,0.057005038747328936,0.10123055856366565,0.10123055856366565,1.0,0.8833837399400282,24.623527850958766,0.035875596108200715,0.9525190012878688,0.9590613153787364,0.9931784193711494
claude:cal_pentagon_5,claude_cal_pentagon_5,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_pentagon_5/dt_0p03/seed_0/20260501-003514,eligible,0.9864501953125,8,10,0.9810791015625,8081,9.928681373596191,0.003887809193056109,0.21623214726757972,0.017979792746751395,0.05634593444051417,0.23455148344736182,0.2402284292231277,0.30380582465377515,0.7947302435388295,0.3822754036652332,0.5540967915167561,0.8004926010810083,0.6921947695312708,0.007046316736039227,0.16057719480587432,0.0438811796691161,0.02770409629361375,0.02770409629361375,1.0,0.43814310421700264,17.359976379643463,0.025238692417276273,0.9807876983431553,0.9902184204482527,0.9904761192981764
claude:cal_pentagon_5,claude_cal_pentagon_5,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_pentagon_5/dt_0p03/seed_1/20260501-003818,eligible,0.972412109375,6,10,0.968994140625,7966,11.866754531860352,0.004192600207426251,0.24745749580885001,0.01694270845876841,0.04847617943889032,0.2349894045784035,0.20629091565154542,0.34170356990907264,0.8054800877076778,0.42422348500448914,0.5563233269868688,0.7939862743318722,0.7006712143166539,0.008310750184491183,0.18566504634183276,0.044762061293917674,0.033152426337967146,0.033152426337967146,1.0,0.6302917757240242,22.36641509088996,0.02818027713259903,0.9215188214247971,0.9316161345302871,0.9891615089829021
claude:cal_pentagon_5,claude_cal_pentagon_5,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_pentagon_5/dt_0p03/seed_2/20260501-003809,eligible,0.9681396484375,6,10,0.96484375,7931,11.996960639953613,0.0036448606500289224,0.2198831332356525,0.016576353976740284,0.05381486855544018,0.22429819975990295,0.2399255482792354,0.33119677504453104,0.7895314357840264,0.41948522887583767,0.5480368968833317,0.794922570311341,0.689421734079945,0.007287245572957959,0.17131755926595982,0.04253647789626144,0.02797607581308373,0.027976075813083735,0.9999999999999998,0.5219514875154669,20.52131559150599,0.025434601655437174,0.9682724249005416,0.977199851561911,0.9908642775097639
claude:cal_square_4,claude_cal_square_4,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_square_4/dt_0p03/seed_0/20260501-005024,eligible,0.977783203125,5,7,0.974853515625,8010,10.399027585983276,0.0050599703085221995,0.22425811925577055,0.022563153233043972,0.06104265636223304,0.22660125712327267,0.26938357331806595,0.3480355877473473,0.7646701290523843,0.4551447408814695,0.5478917429428521,0.773607721644253,0.7082294134530404,0.01055680713496464,0.18626867892381332,0.056675159752877895,0.03838205587385392,0.03838205587385392,1.0,0.6963280108322617,18.595831223734656,0.03744538237922424,0.9880661828728009,0.9973747779564214,0.9906669034656226
claude:cal_square_4,claude_cal_square_4,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_square_4/dt_0p03/seed_1/20260501-005335,eligible,0.95947265625,4,7,0.9569091796875,7860,9.74531888961792,0.004675625744925109,0.24909176652815362,0.018770695676111983,0.04649518314686816,0.2326329464596849,0.19986499700258809,0.3548045088567512,0.7742642656671397,0.4582472995199336,0.49122317417855865,0.7705424888187482,0.6375030336505002,0.01087429245993192,0.21475279534974817,0.05063632555851931,0.034105446002775465,0.034105446002775465,1.0,0.8184986701399974,23.5113566342706,0.03481290692290117,0.9332535344266767,0.9427879972773126,0.9898869492630681
claude:cal_square_4,claude_cal_square_4,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_square_4/dt_0p03/seed_2/20260501-005943,eligible,0.97314453125,5,8,0.970458984375,7972,16.06863284111023,0.0044218938192671295,0.23352465367460565,0.018935447498526718,0.0675844301655989,0.2670458500198712,0.25308174667597294,0.321232621298783,0.7814804383849764,0.41105650956874745,0.5030760953709794,0.7863670530803388,0.6397471681962531,0.00953893309016776,0.19466448910204542,0.049001916755178385,0.031380593607371124,0.031380593607371124,1.0,0.6532039498929345,20.434172368482457,0.0319662542780755,1.0130029425081228,1.02106835638654,0.9921010049640949
claude:duffing_triple_well,claude_duffing_triple_well,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_duffing_triple_well/dt_0p02/seed_0/20260501-014530,eligible,0.9674072265625,7,9,0.9210205078125,7925,11.536080121994019,0.0071381147571239895,0.19149071931730982,0.03727655722727623,0.03291680055877381,0.19783867356686324,0.16638203221499545,0.26241673033275814,0.8092209947030407,0.3242831464463636,0.6320745399960818,0.8018057914190075,0.7883137622109945,0.009401864619938883,0.14165089770155936,0.06637349125557558,0.09946242913980442,0.09946242913980442,1.0,0.2639900081561327,8.061337745030535,0.0327476675095112,0.9529928635155668,0.9598915485166479,0.9928130578795679
claude:duffing_triple_well,claude_duffing_triple_well,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_duffing_triple_well/dt_0p02/seed_1/20260501-015137,eligible,0.9876708984375,6,7,0.94384765625,8091,129.57411861419678,0.005250702494920803,0.22069712033491284,0.023791440898516227,0.03648732864137688,0.21045146891910071,0.1733764502988711,0.215106561789932,0.7869639935263046,0.2733372346885423,0.6125692040583178,0.7805995047658707,0.7847419839730092,0.008821987468529106,0.172861825579129,0.05103490859808585,0.10147526439735759,0.10147526439735759,1.0,0.29441660282747234,10.278650966461301,0.028643506213815242,0.9548949060555241,0.9634329661090055,0.9911378784473569
claude:duffing_triple_well,claude_duffing_triple_well,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_duffing_triple_well/dt_0p02/seed_2/20260501-015752,eligible,0.982666015625,6,7,0.9310302734375,8050,107.2065076828003,0.004994189006196537,0.2170209834746738,0.02301247062028615,0.033134569969527516,0.20738617170699436,0.15977232086786244,0.20035067853482622,0.7871476214589861,0.2545274521232424,0.5968365474599688,0.7895080246573494,0.7559600774406302,0.008939112268277025,0.1797595733650969,0.049728156898333466,0.09142642610708351,0.09142642610708353,0.9999999999999999,0.27254525338844726,10.103010794549592,0.026976636859131237,0.9644438767276824,0.972461720522098,0.9917551060106397
claude:snic_multi,claude_snic_multi,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_snic_multi/dt_0p02/seed_0/20260501-024650,eligible,0.93896484375,7,11,0.9324951171875,7692,97.8678331375122,0.0035076463375570597,0.17666023416139257,0.019855324851163494,0.027334524500497517,0.15276630467592167,0.17893032471057643,0.33350128371132814,0.8019256488217456,0.41587556677023035,0.6423055895450447,0.80615132696178,0.796755606625078,0.006619685132594314,0.12202239400739542,0.054249756255340426,0.061776056135141894,0.06177605613514189,1.0000000000000002,0.482252062228698,16.452719827844195,0.02931138846797512,1.006573584556845,1.011453463967093,0.9951753792101239
claude:snic_multi,claude_snic_multi,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_snic_multi/dt_0p02/seed_1/20260501-024951,eligible,0.935791015625,6,11,0.9298095703125,7666,11.812938451766968,0.00356613740724368,0.19712321335915817,0.018090905411257595,0.036067910496516344,0.2171986763129355,0.1660595318018901,0.3260253646916296,0.8070906908800688,0.40395133827664975,0.6784983380739587,0.8107290852350937,0.836898972086599,0.005723975455933442,0.13795430997593294,0.04149182042179058,0.05833662243343434,0.05833662243343434,1.0,0.46517245647658817,19.353911061705006,0.024035062215254813,1.0113761798950514,1.017614614605285,0.9938695507899586
claude:snic_multi,claude_snic_multi,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_snic_multi/dt_0p02/seed_2/20260501-024953,eligible,0.9256591796875,4,9,0.9190673828125,7583,9.532636165618896,0.0029205810888345623,0.14730901106584843,0.01982622154410525,0.024259777523178032,0.13784723982463487,0.17599030313585237,0.38950301813821536,0.774196202123496,0.5031063405760337,0.6415416550873732,0.794382791063271,0.8075976246019605,0.006651674573314074,0.11450074791879569,0.058092848249615484,0.06629252525448348,0.06629252525448348,1.0,0.6141809149784483,18.709468879345437,0.032827276869226436,0.9811267819054067,0.9865515253442805,0.9945013075348693
