model,seed,horizon,nrmse,physical_time,latent_active_density_1e4
lista_sign_split,8,1,0.2716410382697245,0.05,0.4879844188690185
lista_sign_split,8,5,0.5336509474054931,0.25,0.4879844188690185
lista_sign_split,8,10,0.6636468984547196,0.5,0.4879844188690185
lista_sign_split,8,25,0.7852805010995649,1.25,0.4879844188690185
lista_sign_split,8,50,0.8926134534159339,2.5,0.4879844188690185
lista_sign_split,8,100,0.9607856664475077,5.0,0.4879844188690185
lista_sign_split,9,1,0.2744082759336871,0.05,0.4883961975574493
lista_sign_split,9,5,0.5318956284242903,0.25,0.4883961975574493
lista_sign_split,9,10,0.6612101556994924,0.5,0.4883961975574493
lista_sign_split,9,25,0.7814297045006771,1.25,0.4883961975574493
lista_sign_split,9,50,0.8927280020998172,2.5,0.4883961975574493
lista_sign_split,9,100,0.9595480177997677,5.0,0.4883961975574493
