benchmark,source_family,system,seed,method,status,horizon,mse,finite_start_fraction,metric_protocol,source_file
dysts,classical_koopman,dysts:LuChenCheng,2,dmd,ok,4000,3.6509451490305436,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_LuChenCheng/seed_2/rows.csv
dysts,classical_koopman,dysts:QiChen,0,dmd,ok,4000,3.1127875396344824,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_QiChen/seed_0/rows.csv
dysts,classical_koopman,dysts:QiChen,1,dmd,ok,4000,3.1480980598900827,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_QiChen/seed_1/rows.csv
dysts,classical_koopman,dysts:QiChen,2,dmd,ok,4000,3.125711922958376,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_QiChen/seed_2/rows.csv
dysts,classical_koopman,dysts:Sakarya,0,dmd,ok,4000,,0.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Sakarya/seed_0/rows.csv
dysts,classical_koopman,dysts:Sakarya,1,dmd,ok,4000,,0.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Sakarya/seed_1/rows.csv
dysts,classical_koopman,dysts:Sakarya,2,dmd,ok,4000,2.8462509912848333,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Sakarya/seed_2/rows.csv
dysts,classical_koopman,dysts:SanUmSrisuchinwong,0,dmd,ok,4000,3.736801335331919,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_SanUmSrisuchinwong/seed_0/rows.csv
dysts,classical_koopman,dysts:SanUmSrisuchinwong,1,dmd,ok,4000,3.6767098531916753,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_SanUmSrisuchinwong/seed_1/rows.csv
dysts,classical_koopman,dysts:SanUmSrisuchinwong,2,dmd,ok,4000,3.6367261427409314,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_SanUmSrisuchinwong/seed_2/rows.csv
dysts,classical_koopman,dysts:ShimizuMorioka,0,dmd,ok,4000,3.0593112084451484,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_ShimizuMorioka/seed_0/rows.csv
dysts,classical_koopman,dysts:ShimizuMorioka,1,dmd,ok,4000,3.0480865350496344,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_ShimizuMorioka/seed_1/rows.csv
dysts,classical_koopman,dysts:ShimizuMorioka,2,dmd,ok,4000,3.046689696850736,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_ShimizuMorioka/seed_2/rows.csv
dysts,classical_koopman,dysts:WangSun,0,dmd,ok,4000,3.591997909841301,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_WangSun/seed_0/rows.csv
dysts,classical_koopman,dysts:WangSun,1,dmd,ok,4000,3.570916828016103,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_WangSun/seed_1/rows.csv
dysts,classical_koopman,dysts:WangSun,2,dmd,ok,4000,3.575349334106184,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_WangSun/seed_2/rows.csv
dysts,classical_koopman,dysts:Chua,0,edmd_poly,ok,100,0.44696722318472715,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_0/rows.csv
