system_key,seed,status,staged_train_env_name,global_train_env_name,h100_staged_best_periodic_mean,h100_global_best_periodic_mean,h100_staged_best_periodic_mode,h100_global_best_periodic_mode,h100_staged_over_global,h500_staged_best_periodic_mean,h500_global_best_periodic_mean,h500_staged_best_periodic_mode,h500_global_best_periodic_mode,h500_staged_over_global,h1000_staged_best_periodic_mean,h1000_global_best_periodic_mean,h1000_staged_best_periodic_mode,h1000_global_best_periodic_mode,h1000_staged_over_global,wins_all_horizons
claude:snic_multi,13,ok,claude:snic_multi,claude:snic_multi,0.00011572884977795184,0.0007479802006855607,periodic_10,periodic_5,0.15472180904237925,0.00015613356663379818,0.0005628442158922553,periodic_5,periodic_5,0.2774010325153393,0.00015730927407275885,0.000544561306014657,periodic_5,periodic_5,0.2888733965033587,True
claude:snic_multi,14,ok,claude:snic_multi,claude:snic_multi,0.0007932044100016356,0.0026796169113367796,periodic_10,periodic_20,0.29601410807857975,0.00019508908735588193,0.004195176996290684,periodic_10,periodic_20,0.046503183901031336,0.0001146967988461256,0.004461733158677816,periodic_10,periodic_20,0.025706781371056867,True
claude:transition_routes_4,0,ok,claude:transition_routes_4,claude:transition_routes_4,0.00022033626737538725,0.012091517448425293,periodic_5,periodic_5,0.01822238344485722,0.14575809240341187,0.16232070326805115,periodic_5,periodic_10,0.8979636575545861,0.24246658384799957,0.2336590439081192,periodic_5,periodic_10,1.0376939826191522,False
claude:transition_routes_4,1,ok,claude:transition_routes_4,claude:transition_routes_4,0.0008143365848809481,0.010693822987377644,periodic_5,periodic_10,0.07615018369409544,0.07878994941711426,0.2240452766418457,periodic_10,periodic_25,0.35166976335353095,0.15178316831588745,0.3703390061855316,periodic_10,periodic_10,0.40984926184050796,True
claude:transition_routes_4,2,ok,claude:transition_routes_4,claude:transition_routes_4,0.0005072331987321377,0.0012866768520325422,periodic_10,periodic_5,0.39421957263851426,0.00052777020027861,0.07992970198392868,periodic_5,periodic_5,0.006602929664178253,0.05273706465959549,0.2043357491493225,periodic_5,periodic_5,0.25809025038030325,True
claude:transition_routes_4,3,ok,claude:transition_routes_4,claude:transition_routes_4,0.0005841306992806494,0.001920896116644144,periodic_5,periodic_5,0.3040928107560242,0.021606750786304474,0.10313542187213898,periodic_1,periodic_5,0.20949883555129303,0.05864271521568298,0.19532112777233124,periodic_1,periodic_10,0.3002374391573126,True
claude:transition_routes_4,4,ok,claude:transition_routes_4,claude:transition_routes_4,0.00047420975170098245,0.0013127656420692801,periodic_5,periodic_5,0.3612295572829719,0.002048341790214181,0.014085948467254639,periodic_5,periodic_5,0.14541738491915726,0.053936515003442764,0.11459654569625854,periodic_5,periodic_5,0.47066440507206087,True
claude:transition_routes_4,5,ok,claude:transition_routes_4,claude:transition_routes_4,0.000501343107316643,0.0009166524396277964,periodic_5,periodic_5,0.5469282419847283,0.0007087982376106083,0.006000664085149765,periodic_10,periodic_5,0.11811996598255144,0.0009007924818433821,0.11118576675653458,periodic_5,periodic_5,0.008101688805329401,True
claude:transition_routes_4,6,ok,claude:transition_routes_4,claude:transition_routes_4,0.00059645960573107,0.001442747307009995,periodic_10,periodic_5,0.4134193166280767,0.006661449559032917,0.09029804170131683,periodic_10,periodic_5,0.07377180538496408,0.11011209338903427,0.26571741700172424,periodic_10,periodic_5,0.4143954680559,True
claude:transition_routes_4,7,ok,claude:transition_routes_4,claude:transition_routes_4,0.001217990880832076,0.0014450396411120892,periodic_2,periodic_10,0.8428771406538865,0.08114892244338989,0.0025100940838456154,periodic_2,periodic_10,32.32903617663002,0.20545873045921326,0.05044076591730118,periodic_2,periodic_10,4.073267459817475,False
claude:transition_routes_4,8,ok,claude:transition_routes_4,claude:transition_routes_4,0.00041352224070578814,0.0011664197081699967,periodic_5,periodic_10,0.3545226797947077,0.0009568352834321558,0.07039746642112732,periodic_5,periodic_10,0.013591899425871887,0.053245898336172104,0.14570768177509308,periodic_5,periodic_10,0.36542958948698223,True
claude:transition_routes_4,9,ok,claude:transition_routes_4,claude:transition_routes_4,0.00034865998895838857,0.003240132937207818,periodic_5,periodic_5,0.1076066926003493,0.05887402966618538,0.16493824124336243,periodic_10,periodic_5,0.356945904251023,0.08448580652475357,0.24931088089942932,periodic_10,periodic_5,0.33887733347199833,True
claude:transition_routes_4,10,ok,claude:transition_routes_4,claude:transition_routes_4,0.0003990202094428241,0.0011528950417414308,periodic_10,periodic_5,0.34610280640994867,0.0007898097392171621,0.016673142090439796,periodic_10,periodic_5,0.04737017983371177,0.000500282971188426,0.16847820580005646,periodic_10,periodic_5,0.002969422477006568,True
claude:transition_routes_4,11,ok,claude:transition_routes_4,claude:transition_routes_4,0.0002268945099785924,0.002427722793072462,periodic_5,periodic_5,0.09345980959030363,0.00034541645436547697,0.18310725688934326,periodic_5,periodic_5,0.0018864159740769946,0.00022290540800895542,0.2656818628311157,periodic_5,periodic_2,0.0008389936958197566,True
claude:transition_routes_4,12,ok,claude:transition_routes_4,claude:transition_routes_4,0.0006228629499673843,0.0011106858728453517,periodic_5,periodic_10,0.5607912778900626,0.07929149270057678,0.07681159675121307,periodic_1,periodic_10,1.0322854367602317,0.15154244005680084,0.09621704369783401,periodic_5,periodic_10,1.5750061967473679,False
claude:transition_routes_4,13,ok,claude:transition_routes_4,claude:transition_routes_4,0.00030673560104332864,0.0005517840036191046,periodic_5,periodic_5,0.5558979583160726,0.005630916450172663,0.061568453907966614,periodic_5,periodic_5,0.09145781796940744,0.05701529607176781,0.08552367240190506,periodic_5,periodic_5,0.6666609895308679,True
claude:transition_routes_4,14,ok,claude:transition_routes_4,claude:transition_routes_4,0.00036601920146495104,0.0005245138891041279,periodic_5,periodic_5,0.6978255658589203,0.000862755230627954,0.0008391974843107164,periodic_5,periodic_5,1.0280717551680782,0.0006192445289343596,0.0005324638914316893,periodic_5,periodic_5,1.162979384891874,False
claude:var_depth_gradient_4,0,ok,claude:var_depth_gradient_4,claude:var_depth_gradient_4,0.00011855835327878594,0.004439616575837135,periodic_5,periodic_10,0.026704637946449363,6.46474290988408e-05,0.001965788658708334,periodic_5,periodic_5,0.03288625601356295,5.790869181510061e-05,0.0011130123166367412,periodic_5,periodic_5,0.05202879694097808,True
