benchmark,source_family,system,seed,method,status,horizon,mse,finite_start_fraction,metric_protocol,source_file
multibasin,classical_koopman,claude:cal_octagon_8,2,dmd,ok,500,2.074111439277842,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,0,dmd,ok,500,2.2983294100458536,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,1,dmd,ok,500,2.2060161784586154,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,2,dmd,ok,500,1.8287204209171783,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_square_4,0,dmd,ok,500,2.016089478597495,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_square_4,1,dmd,ok,500,2.037076987474871,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_square_4,2,dmd,ok,500,2.2471672459225247,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_2/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,0,dmd,ok,500,0.30210530855075995,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_0/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,1,dmd,ok,500,0.31104106834353146,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_1/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,2,dmd,ok,500,0.27173963979872595,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_2/rows.csv
multibasin,classical_koopman,claude:snic_multi,0,dmd,ok,500,0.5929891993755918,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_snic_multi/seed_0/rows.csv
multibasin,classical_koopman,claude:snic_multi,1,dmd,ok,500,0.6687474111722199,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_snic_multi/seed_1/rows.csv
multibasin,classical_koopman,claude:snic_multi,2,dmd,ok,500,0.5649572952670285,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_snic_multi/seed_2/rows.csv
multibasin,classical_koopman,claude:transition_routes_4,0,dmd,ok,500,2.8846801801474253,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_0/rows.csv
multibasin,classical_koopman,claude:transition_routes_4,1,dmd,ok,500,2.8234441575477223,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_1/rows.csv
multibasin,classical_koopman,claude:transition_routes_4,2,dmd,ok,500,2.822336563305811,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,0,dmd,ok,500,2.921319850455374,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_0/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,1,dmd,ok,500,2.5674164602903082,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_1/rows.csv
