root_label,system_name,seed,support_scheme,subset,num_states,observed_label_count,family_jaccard_threshold,family_h_basin_given_family,family_unique_count
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,12,absolute:0.001,deep,4707,3,0.5,1.0840920434256347,1.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,13,absolute:0.001,deep,4707,3,0.5,0.0,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,14,absolute:0.001,deep,4707,3,0.5,0.0,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,0,absolute:0.001,deep,7167,8,0.5,0.6762632802522308,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,1,absolute:0.001,deep,7167,8,0.5,0.8928470130025694,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,2,absolute:0.001,deep,7167,8,0.5,0.674659108859285,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,3,absolute:0.001,deep,7167,8,0.5,0.6787276158914672,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,4,absolute:0.001,deep,7167,8,0.5,0.6660600477927834,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,5,absolute:0.001,deep,7167,8,0.5,0.628231120861481,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,6,absolute:0.001,deep,7167,8,0.5,0.8928470130025694,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,7,absolute:0.001,deep,7167,8,0.5,0.6660600477927834,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,8,absolute:0.001,deep,7167,8,0.5,0.9116046356877123,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,9,absolute:0.001,deep,7167,8,0.5,0.9116046356877123,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,10,absolute:0.001,deep,7167,8,0.5,0.6231703806011173,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,11,absolute:0.001,deep,7167,8,0.5,0.6660600477927834,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,12,absolute:0.001,deep,7167,8,0.5,0.6973857049130385,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,13,absolute:0.001,deep,7167,8,0.5,0.8928470130025694,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,14,absolute:0.001,deep,7167,8,0.5,0.6787276158914672,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,0,absolute:0.001,deep,4744,5,0.5,0.3420312575536866,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,1,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,2,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,3,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,4,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,5,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,6,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,7,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,8,absolute:0.001,deep,4744,5,0.5,0.5829424064184932,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,9,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,10,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,11,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,12,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,13,absolute:0.001,deep,4744,5,0.5,0.22509021367857995,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,14,absolute:0.001,deep,4744,5,0.5,0.0,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,0,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,1,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,2,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,3,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,4,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,5,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,6,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,7,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,8,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,9,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,10,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,11,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,12,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,13,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,14,absolute:0.001,deep,6211,4,0.5,0.0,4.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,0,absolute:0.001,deep,16512,1,0.5,0.0,7.0
