model,seed,horizon,physical_time,field_mse,final_field_mse,relative_rmse,final_relative_rmse,persistence_field_mse,persistence_final_field_mse,pixel_basin_mean_iou,same_horizon_modal_basin_consistency
direct,20,5,0.5,0.002217402961105108,0.002811452141031623,0.35031555258359015,0.28901924370903287,0.018068653345108033,0.03365713730454445,0.968486989141623,0.9765625
direct,20,10,1.0,0.0023851289413869383,0.0024252369767054915,0.25256958842834,0.18370133832762517,0.03738950788974762,0.07186700403690338,0.9627727710850881,0.98828125
direct,20,20,2.0,0.002473656088113785,0.002767082303762436,0.1804878813573664,0.1358536801811811,0.07593521475791931,0.1499267965555191,0.9596211124373799,0.9765625
direct,20,40,4.0,0.003169710375368595,0.0051192049868404865,0.1434332085530591,0.1299118347265109,0.15407073497772217,0.30332282185554504,0.9523772088621488,0.95703125
direct,20,80,8.0,0.005278638564050198,0.009379623923450708,0.13631086668880366,0.13824815615992775,0.2840932846069336,0.4907572567462921,0.9534466119586976,0.96484375
direct,20,120,12.0,0.0072807841002941135,0.01391245611011982,0.14080292035471823,0.15726030991179346,0.3672441005706787,0.562555730342865,0.9510148961759035,0.9453125
direct,20,160,16.0,0.009550828114151954,0.018991156481206417,0.15073380774772824,0.1790895039351164,0.4203583598136902,0.5921219289302826,0.9467203142263918,0.95703125
direct,20,200,20.0,0.012160454392433167,0.026316432282328606,0.1632123422458142,0.2078955490901369,0.45650318145751956,0.6088868975639343,0.9375722159631354,0.9609375
dense,11,1,0.1,0.05819007754325867,0.05819007754325867,4.213164639263825,4.213164639263825,0.0032781745539978147,0.0032781745539978147,0.7589531755909908,0.86328125
dense,11,5,0.5,0.03948805779218674,0.026889817789196968,1.4783252469827335,0.8938308550992785,0.018068653345108033,0.03365713730454445,0.7896048597962317,0.87890625
dense,11,10,1.0,0.030222594738006592,0.01865321584045887,0.8990648096455929,0.5094623417606741,0.03738950788974762,0.07186700403690338,0.8231790100373759,0.90234375
dense,11,20,2.0,0.024182917177677156,0.019132266752421856,0.564329471563565,0.357226429563691,0.07593521475791931,0.1499267965555191,0.8478711714351711,0.89453125
dense,11,40,4.0,0.024032708257436752,0.02818587888032198,0.3949492378115355,0.30483388907891684,0.15407073497772217,0.30332282185554504,0.8489714869991599,0.8984375
dense,11,80,8.0,0.030005577206611633,0.042623935267329216,0.3249903823233667,0.2947090053743083,0.2840932846069336,0.4907572567462921,0.8491182514688875,0.89453125
dense,11,120,12.0,0.036683811744054155,0.05803048610687256,0.31605292503349297,0.3211776586624126,0.3672441005706787,0.562555730342865,0.8372448949297848,0.88671875
dense,11,160,16.0,0.04437978863716126,0.07643010467290878,0.32492473272066225,0.359274715834454,0.4203583598136902,0.5921219289302826,0.8185652283982903,0.890625
dense,11,200,20.0,0.052626299858093264,0.09413521736860275,0.3395310634313523,0.3931947863070832,0.45650318145751956,0.6088868975639343,0.8026044437701434,0.88671875
dense,12,1,0.1,0.06192410923540592,0.06192410923540592,4.346241422607526,4.346241422607526,0.0032781745539978147,0.0032781745539978147,0.7430712019087522,0.88671875
dense,12,5,0.5,0.04214722216129303,0.028687319718301296,1.5272902710976415,0.9232225412101563,0.018068653345108033,0.03365713730454445,0.7756531472653849,0.8984375
dense,12,10,1.0,0.032180707156658175,0.01972336880862713,0.9277328122389652,0.5238727126074528,0.03738950788974762,0.07186700403690338,0.8115915066586532,0.90625
dense,12,20,2.0,0.025768208503723144,0.02071650791913271,0.582532956247583,0.37172232456588816,0.07593521475791931,0.1499267965555191,0.836626975493131,0.91796875
dense,12,40,4.0,0.02578788250684738,0.029939545318484306,0.409117224376236,0.3141738662066435,0.15407073497772217,0.30332282185554504,0.8475573541358892,0.90234375
dense,12,80,8.0,0.03220608681440353,0.04588424228131771,0.33669641764318087,0.30577249507438403,0.2840932846069336,0.4907572567462921,0.8495169971202426,0.89453125
dense,12,120,12.0,0.039406128724416095,0.062057461589574814,0.3275702648463389,0.33213468160670045,0.3672441005706787,0.562555730342865,0.8374830295848321,0.89453125
dense,12,160,16.0,0.04739188700914383,0.08017005026340485,0.3357702053606517,0.3679599111475077,0.4203583598136902,0.5921219289302826,0.8166410634042969,0.87890625
dense,12,200,20.0,0.055945899486541745,0.09999800100922585,0.3500759097432006,0.405254032346099,0.45650318145751956,0.6088868975639343,0.7929360280619984,0.8671875
dense,13,1,0.1,0.05626269429922104,0.05626269429922104,4.142802459856779,4.142802459856779,0.0032781745539978147,0.0032781745539978147,0.7606922979882734,0.91015625
dense,13,5,0.5,0.03781089037656784,0.025522262789309025,1.4465903352846954,0.8708051740195476,0.018068653345108033,0.03365713730454445,0.7949714182310508,0.9453125
dense,13,10,1.0,0.0290948286652565,0.01865846198052168,0.8821308843467972,0.5095339788158784,0.03738950788974762,0.07186700403690338,0.8249756023501814,0.93359375
dense,13,20,2.0,0.024310076981782912,0.021255756728351116,0.565811218755328,0.3765291940041655,0.07593521475791931,0.1499267965555191,0.8442010224867618,0.91015625
dense,13,40,4.0,0.02527243196964264,0.03048237506300211,0.4050078499732306,0.3170091936069162,0.15407073497772217,0.30332282185554504,0.8461857355450093,0.89453125
dense,13,80,8.0,0.03237262964248657,0.04691446013748646,0.33756585062279426,0.3091861250951698,0.2840932846069336,0.4907572567462921,0.8445613446358082,0.88671875
dense,13,120,12.0,0.03969260851542155,0.061858369037508965,0.32875881501031623,0.3316014768890117,0.3672441005706787,0.562555730342865,0.836216668662201,0.87890625
dense,13,160,16.0,0.047345851361751554,0.0781404972076416,0.33560708509534565,0.36327249150137303,0.4203583598136902,0.5921219289302826,0.8206575214516807,0.89453125
dense,13,200,20.0,0.05514708042144775,0.09415916353464127,0.34756765860429695,0.393244793675193,0.45650318145751956,0.6088868975639343,0.8046718140270248,0.875
dense,14,1,0.1,0.05555148795247078,0.05555148795247078,4.116534984185849,4.116534984185849,0.0032781745539978147,0.0032781745539978147,0.7689477560859364,0.90625
dense,14,5,0.5,0.03736424744129181,0.025176615454256535,1.438020995211783,0.8648884273373787,0.018068653345108033,0.03365713730454445,0.7974873711498653,0.93359375
dense,14,10,1.0,0.02848915010690689,0.017563337460160255,0.8729007611315895,0.49435479696150114,0.03738950788974762,0.07186700403690338,0.8232376314755525,0.921875
dense,14,20,2.0,0.022987750172615052,0.018563776277005672,0.5502076463146514,0.3518791482837955,0.07593521475791931,0.1499267965555191,0.8458574568500465,0.92578125
dense,14,40,4.0,0.022771263122558595,0.02641205955296755,0.3844443657390515,0.2950859895964449,0.1540707230567932,0.30332282185554504,0.8530489541226264,0.9296875
dense,14,80,8.0,0.02867506891489029,0.042839374393224716,0.31770332515182254,0.2954528576683767,0.28409327268600465,0.4907572567462921,0.8503836665980433,0.89453125
dense,14,120,12.0,0.03687371810277303,0.06441526114940643,0.3168699472919363,0.33838539439087667,0.3672441005706787,0.562555730342865,0.831522339041666,0.87890625
dense,14,160,16.0,0.0467964768409729,0.08731091022491455,0.3336543062899134,0.3839977549615863,0.4203583598136902,0.5921219289302826,0.8104974400330556,0.8828125
dense,14,200,20.0,0.056869442462921145,0.10593001171946526,0.35295356424988095,0.41710096613498515,0.45650320053100585,0.6088868975639343,0.795652216288238,0.87890625
dense,15,1,0.1,0.05864380858838558,0.05864380858838558,4.229558599138766,4.229558599138766,0.0032781745539978147,0.0032781745539978147,0.7522370731244239,0.89453125
dense,15,5,0.5,0.03960814476013184,0.02677228394895792,1.4805714049567527,0.8918752743090943,0.018068653345108033,0.03365713730454445,0.7850187783304117,0.89453125
dense,15,10,1.0,0.030230845510959625,0.018645362928509712,0.8991875236857084,0.5093550899036885,0.03738950788974762,0.07186700403690338,0.8194919761955417,0.90234375
dense,15,20,2.0,0.024386516958475112,0.019767732359468937,0.5667000816482828,0.36311048986132316,0.07593521475791931,0.1499267965555191,0.8421674858481042,0.93359375
dense,15,40,4.0,0.024241069704294203,0.027698365040123463,0.3966576456585838,0.3021861276607758,0.1540707230567932,0.30332282185554504,0.8517293701348159,0.93359375
dense,15,80,8.0,0.029803410172462463,0.04278425872325897,0.32389370323452904,0.29526273674070413,0.28409327268600465,0.4907572567462921,0.8509792731122892,0.89453125
dense,15,120,12.0,0.037231858571370444,0.0625571645796299,0.31840504777386647,0.3334692183553444,0.3672441005706787,0.562555730342865,0.8327057075860778,0.87890625
dense,15,160,16.0,0.046726074814796445,0.0873245932161808,0.33340323204046,0.3840278430231732,0.4203583598136902,0.5921219289302826,0.8060645793476766,0.87890625
dense,15,200,20.0,0.05732507467269898,0.11138581484556198,0.354364657598227,0.4277072665541702,0.45650320053100585,0.6088868975639343,0.7815962572868447,0.86328125
dense,16,1,0.1,0.05413316562771797,0.05413316562771797,4.063644194975134,4.063644194975134,0.0032781745539978147,0.0032781745539978147,0.7691091947891933,0.8984375
dense,16,5,0.5,0.03618430942296982,0.024159596301615238,1.415132976515265,0.8472396054923977,0.018068653345108033,0.03365713730454445,0.7987547781077429,0.91796875
dense,16,10,1.0,0.027448078989982604,0.016689127311110497,0.8568032454354847,0.4818945820532425,0.03738950788974762,0.07186700403690338,0.8317122844861341,0.9140625
dense,16,20,2.0,0.022010312974452974,0.01766010746359825,0.5383831959985449,0.34320771368246045,0.07593521475791931,0.1499267965555191,0.8553868728180123,0.90625
dense,16,40,4.0,0.021982014924287797,0.02547849714756012,0.37772322482277454,0.28982400925623775,0.1540707230567932,0.30332282185554504,0.860544299941252,0.91015625
dense,16,80,8.0,0.027792099118232726,0.04155914485454559,0.3127736801373,0.2910046550732115,0.28409327268600465,0.4907572567462921,0.8543667643560264,0.890625
dense,16,120,12.0,0.03547163804372152,0.060880670323967934,0.3107872603626007,0.3289704859390537,0.3672441005706787,0.562555730342865,0.83819468962481,0.8828125
dense,16,160,16.0,0.04493377357721329,0.08504831418395042,0.3269464317354835,0.3789895909584838,0.4203583598136902,0.5921219289302826,0.813654553639541,0.859375
dense,16,200,20.0,0.05525481939315796,0.10697944834828377,0.34790700121809975,0.4191619602224482,0.45650320053100585,0.6088868975639343,0.793000154717729,0.86328125
dense,17,1,0.1,0.0546242780983448,0.0546242780983448,4.082035880746688,4.082035880746688,0.0032781745539978147,0.0032781745539978147,0.7667944602470982,0.90234375
dense,17,5,0.5,0.036460840702056886,0.02434075903147459,1.4205301185270154,0.8504102209194284,0.018068653345108033,0.03365713730454445,0.7978016834132,0.91796875
dense,17,10,1.0,0.027784983813762664,0.01727439370006323,0.8620455206033115,0.49027148693831285,0.03738950788974762,0.07186700403690338,0.8278807082089783,0.9140625
dense,17,20,2.0,0.022789937257766724,0.019415774382650852,0.547835223341532,0.3598634403292556,0.07593521475791931,0.1499267965555191,0.8492944158153767,0.8984375
dense,17,40,4.0,0.023394917696714403,0.027775557711720467,0.3896733458168573,0.3026069164848253,0.1540707230567932,0.30332282185554504,0.8541502205910714,0.88671875
dense,17,80,8.0,0.0298173725605011,0.044003527611494064,0.323969563681491,0.2994403914229385,0.28409327268600465,0.4907572567462921,0.8535204366321754,0.91015625
dense,17,120,12.0,0.0379850447177887,0.064601955935359,0.32160952825340294,0.33887541087907014,0.3672441005706787,0.562555730342865,0.8351592659053279,0.89453125
dense,17,160,16.0,0.047321084141731265,0.08482003211975098,0.3355192934346433,0.37848061755465723,0.4203583598136902,0.5921219289302826,0.8184618317172913,0.8671875
dense,17,200,20.0,0.05673787355422974,0.1037309318780899,0.3525450442866173,0.41274880576742334,0.45650320053100585,0.6088868975639343,0.7994621158159467,0.85546875
dense,18,1,0.1,0.0574604794383049,0.0574604794383049,4.1866686000249524,4.1866686000249524,0.0032781745539978147,0.0032781745539978147,0.7569882008303983,0.87890625
dense,18,5,0.5,0.03915410190820694,0.026833226904273033,1.4720607749882628,0.8928898052024965,0.018068653345108033,0.03365713730454445,0.7871153846980798,0.8828125
dense,18,10,1.0,0.03011425882577896,0.018903075717389584,0.897451969155641,0.5128631160259278,0.03738950788974762,0.07186700403690338,0.8198931468562212,0.890625
dense,18,20,2.0,0.024436340481042863,0.020070607773959637,0.5672786921055374,0.3658816518485856,0.07593521475791931,0.1499267965555191,0.843007945816106,0.8984375
dense,18,40,4.0,0.024637316167354584,0.028824694454669952,0.39988640354891225,0.30826897074247983,0.1540707230567932,0.30332282185554504,0.8477995509220673,0.90234375
dense,18,80,8.0,0.03109958618879318,0.04590245708823204,0.330861954012713,0.3058331807700208,0.28409327268600465,0.4907572567462921,0.846759771029526,0.875
dense,18,120,12.0,0.03908341924349467,0.06434857100248337,0.3262262182769782,0.33821018113179996,0.3672441005706787,0.562555730342865,0.8308880218155762,0.87109375
dense,18,160,16.0,0.047937265038490294,0.0837436392903328,0.3376966729545291,0.37607143090299405,0.4203583598136902,0.5921219289302826,0.812280626870141,0.86328125
dense,18,200,20.0,0.05689882755279541,0.1011064350605011,0.3530447400406607,0.4074938742772362,0.45650320053100585,0.6088868975639343,0.7947670281950908,0.84765625
dense,19,1,0.1,0.061521485447883606,0.061521485447883606,4.332088987438097,4.332088987438097,0.0032781745539978147,0.0032781745539978147,0.7451005031532459,0.9140625
dense,19,5,0.5,0.042243112623691556,0.029117422178387642,1.5290266769356295,0.9301176260441871,0.018068653345108033,0.03365713730454445,0.7751988345589493,0.921875
dense,19,10,1.0,0.032401430606842044,0.019879942759871483,0.930908977047066,0.5259479837190809,0.03738950788974762,0.07186700403690338,0.8093574641074833,0.9375
dense,19,20,2.0,0.025401589274406434,0.018679297529160976,0.5783740937091725,0.35297231153208236,0.07593521475791931,0.1499267965555191,0.839291973239551,0.92578125
dense,19,40,4.0,0.023823919892311095,0.02596990391612053,0.39322990004102665,0.29260559597559976,0.15407073497772217,0.30332282185554504,0.8492860887141709,0.9296875
dense,19,80,8.0,0.029417145252227783,0.042869824916124344,0.32178795105283103,0.29555784398033264,0.2840932846069336,0.4907572567462921,0.8458600444574882,0.87890625
dense,19,120,12.0,0.036213523149490355,0.05745839886367321,0.3140204815939066,0.31959058995970907,0.3672441005706787,0.562555730342865,0.8358794124935406,0.86328125
dense,19,160,16.0,0.0439032182097435,0.07608433440327644,0.32317542879352684,0.358461114080312,0.4203583598136902,0.5921219289302826,0.8171976060592956,0.84375
dense,19,200,20.0,0.05214407920837402,0.09310546889901161,0.33797190303760527,0.3910382867522154,0.45650318145751956,0.6088868975639343,0.7997599304043865,0.83203125
