system_key,system_name,seed,run_dir,status,current_coverage,family_count_retained,family_count_total,persistent_coverage,elapsed_seconds,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,matrix_leakage_true,matrix_leakage_null,matrix_leakage_true_over_null,activity_change_leakage_true,activity_change_leakage_null,activity_change_leakage_true_over_null,matrix_change_leakage_true,matrix_change_leakage_null,matrix_change_leakage_true_over_null,restricted_inside_residual_true,restricted_inside_residual_null,restricted_inside_residual_true_over_null,encoded_next_outside_true,encoded_next_outside_null,encoded_next_outside_true_over_null,global_over_identity_true,global_over_identity_null,global_over_identity_true_over_null,operator_distance_true,operator_distance_null,operator_distance_true_over_null
claude:cal_high_cross_3,claude_cal_high_cross_3,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_high_cross_3/dt_0p03/seed_1/20260430-230524,eligible,0.98876953125,4,6,0.9808349609375,13.351537227630615,0.005401378407220989,0.12014582397295762,0.04495685516657432,0.028020860141088972,0.1243202978781899,0.2253924790989807,0.3138904160636796,0.7638836244909104,0.41091392196405785,0.5695665534701007,0.7722952044531919,0.7374984982243555,0.014875101218280713,0.10310863640245414,0.14426629754097556,0.04160947081376582,0.04160947081376582,1.0,0.8807373907033369,8.913292891729128,0.09881167391240958,0.9062310532260578,0.9115927411599352,0.9941183297191957
claude:cal_high_cross_3,claude_cal_high_cross_3,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_high_cross_3/dt_0p03/seed_2/20260430-230524,eligible,0.9534912109375,4,9,0.947265625,13.154396057128906,0.0053118153412391395,0.2601781577468293,0.02041606946270982,0.05984112236005424,0.26485549768556027,0.22593875861734372,0.3167381225492776,0.7941380942935397,0.3988451439683747,0.4912774034992246,0.7927566796964352,0.6197076809082783,0.011112123203812956,0.19783681183251206,0.05616812715937032,0.031113493706605922,0.031113493706605922,1.0,0.6155990152178669,17.971920483664064,0.03425337964172654,0.9780728998814984,0.9898515890046994,0.9881005503713496
claude:cal_octagon_8,claude_cal_octagon_8,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_octagon_8/dt_0p03/seed_0/20260430-231742,eligible,0.9442138671875,5,11,0.9407958984375,13.181414604187012,0.005343378576535511,0.13034168135995072,0.04099516379399214,0.0418325114917151,0.148141709714112,0.2823817247178033,0.4024904346322624,0.7534995239425717,0.5341614982399623,0.5946169287963503,0.7612921615015023,0.7810627231778965,0.012030242757145117,0.11568374847893956,0.10399250469771254,0.08987972822536577,0.08987972822536576,1.0000000000000002,1.1178765855587078,17.578608991962604,0.06359300591246042,0.9179388852505607,0.9238638759558777,0.9935867275910244
claude:cal_octagon_8,claude_cal_octagon_8,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_octagon_8/dt_0p03/seed_1/20260430-231743,eligible,0.9683837890625,6,9,0.9599609375,12.107229471206665,0.005422469020062097,0.2322083527589785,0.023351739744221726,0.05715478472036698,0.24496531035183167,0.23331787116420022,0.3758004234871592,0.7669658595236557,0.48998324869448545,0.5662519784648453,0.7693539747592752,0.7360096874030203,0.01158294959789625,0.1912498760995797,0.06056448157835803,0.08779903307417225,0.08779903307417225,1.0,0.8319646434422038,27.024807743318725,0.03078521968941253,0.947805020772318,0.9595503779741683,0.9877595200091032
claude:cal_octagon_8,claude_cal_octagon_8,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_octagon_8/dt_0p03/seed_2/20260430-231748,eligible,0.9615478515625,6,9,0.9573974609375,10.432116985321045,0.005583916066517207,0.20650446489456648,0.027040171113821426,0.05896473540755935,0.20796028753488746,0.28353843950935786,0.4338382743698215,0.775566437420866,0.5593824763904739,0.5736107772758964,0.7791977997406883,0.7361555403092644,0.010080832236780591,0.17728269709264477,0.05686303515290344,0.10100608293691904,0.10100608293691903,1.0000000000000002,0.887119819491427,24.747905978394037,0.0358462578719153,0.9525190012878688,0.9590613153787364,0.9931784193711494
claude:cal_pentagon_5,claude_cal_pentagon_5,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_pentagon_5/dt_0p03/seed_0/20260501-003514,eligible,0.9864501953125,8,10,0.9810791015625,9.928681373596191,0.003851502819185378,0.21614025564196054,0.01781946082994113,0.05635226767198563,0.23461036236590704,0.2401951350473452,0.30608539054852885,0.7948085946743699,0.38510578848726573,0.5538979591152258,0.8005257171884942,0.6919177575713077,0.006900985981274929,0.16059309426165405,0.04297187256402921,0.026648318384522085,0.02664831838452208,1.0000000000000002,0.44441461310536967,17.790164575055016,0.024980916350179145,0.9807876983431553,0.9902184204482527,0.9904761192981764
claude:cal_pentagon_5,claude_cal_pentagon_5,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_pentagon_5/dt_0p03/seed_1/20260501-003818,eligible,0.972412109375,6,10,0.968994140625,11.866754531860352,0.004173578727495524,0.24735862676894915,0.016872582056311092,0.04848357189575612,0.23493633505050326,0.20636898028282347,0.3417955957240837,0.805519564760276,0.42431693862805514,0.5563257642846416,0.79401206201048,0.7006515277311981,0.008278750234939026,0.18561016371154837,0.04460289280173689,0.031862031445362766,0.031862031445362766,1.0,0.6343399347142072,22.53387169112758,0.028150507973468686,0.9215188214247971,0.9316161345302871,0.9891615089829021
claude:cal_pentagon_5,claude_cal_pentagon_5,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_pentagon_5/dt_0p03/seed_2/20260501-003809,eligible,0.9681396484375,6,10,0.96484375,11.996960639953613,0.0036211693395686675,0.21989046209796606,0.016468060074180738,0.05381826381822315,0.224283605185024,0.23995629896275955,0.33190080623805135,0.7895854390694608,0.4203481850288448,0.5479896825853469,0.7949722876861178,0.6893192266869457,0.007236887493748635,0.17122215320948453,0.04226606988696461,0.026693867054453917,0.026693867054453917,1.0,0.5260073514504398,20.727198447101195,0.025377638603349434,0.9682724249005416,0.977199851561911,0.9908642775097639
claude:cal_square_4,claude_cal_square_4,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_square_4/dt_0p03/seed_0/20260501-005024,eligible,0.977783203125,5,7,0.974853515625,10.399027585983276,0.0050577042729708435,0.22432916888382304,0.02254590563561602,0.0610574856426305,0.2265678305099571,0.26948876857408566,0.34926792161966974,0.7646944238350531,0.45674181834364713,0.547794668934614,0.7735866302736207,0.7081232372654331,0.010548704275475114,0.18625251176953597,0.05663657459034865,0.03777321426107602,0.03777321426107602,1.0,0.6999675237413993,18.692801290480155,0.03744583344487152,0.9880661828728009,0.9973747779564214,0.9906669034656226
claude:cal_square_4,claude_cal_square_4,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_square_4/dt_0p03/seed_1/20260501-005335,eligible,0.95947265625,4,7,0.9569091796875,9.74531888961792,0.004671160322740864,0.24904057193811685,0.01875662381590411,0.04649632508186569,0.23262865091681342,0.1998735963890041,0.3551837751067992,0.7742851968589941,0.4587247393436635,0.4912318524016413,0.7705395727030877,0.6375167088153276,0.010859641800167422,0.214739350898682,0.050571270494764606,0.03308287447558544,0.03308287447558543,1.0000000000000002,0.8215219773456185,23.590276993558973,0.0348246007272371,0.9332535344266767,0.9427879972773126,0.9898869492630681
