root_label,system_name,seed,h100_best_periodic_mean,h500_best_periodic_mean,h1000_best_periodic_mean,h100_best_periodic_is_finite,h500_best_periodic_is_finite,h1000_best_periodic_is_finite
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,2,0.020316803827881813,0.037318434566259384,0.039443980902433395,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,3,0.024896768853068352,0.03788379579782486,0.0395071804523468,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,4,0.05281387269496918,0.07510662823915482,0.0778932273387909,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,5,0.06183371692895889,0.10974876582622528,0.1157381609082222,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,6,0.026233917102217674,0.06819495558738708,0.07387455552816391,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,7,0.0016240731347352266,0.0009631660650484264,0.0008806684636510909,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,8,0.018662409856915474,0.034882236272096634,0.03690881282091141,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,9,0.0008074840297922492,0.0004284469468984753,0.0003813552903011441,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,0,0.0022886116057634354,0.0012141779297962785,0.0010798278963193297,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,1,0.002346392022445798,0.0017632870003581047,0.001691315439529717,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,2,0.0027360671665519476,0.0029748764354735613,0.003035206813365221,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,3,0.003428604919463396,0.003637460060417652,0.0036624509375542402,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,4,0.003409178229048848,0.0029723939951509237,0.002918035490438342,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,5,0.0021256112959235907,0.001362524926662445,0.0012670895084738731,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,6,0.0015384164871647954,0.0009180535562336445,0.0008405411499552429,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,7,0.0023242647293955088,0.0019363906467333436,0.0018883261363953352,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,8,0.00317297107540071,0.0021278145723044872,0.001995604718104005,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_square_4,9,0.0025867291260510683,0.001975410617887974,0.0019027418456971645,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,0,0.0011857380159199238,0.002498076530173421,0.003254086012020707,True,True,True
