model,seed,scope,slice,trajectory_transfer_coverage,state_transfer_coverage,num_trajectories,num_families,h_basin_given_family,h_family_given_basin,normalized_h_basin_given_family,normalized_h_family_given_basin,purity,nmi,ari,mean_state_to_rep_jaccard
sparse,15,final,covered_test,0.9921875,0.9921875,254,11,0.21113129664785915,0.5288054058290426,0.15466570894007414,0.3142496780915641,0.9330708661417323,0.7572256390072705,0.7940664630077153,0.7531163727988485
sparse,15,final,deep_test,0.9921875,0.9921875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9982784633051784
sparse,15,final,deep_covered_test,0.9921875,0.9921875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9982784633051784
sparse,16,final,all_test,0.98046875,0.98046875,256,10,0.38798727237397784,0.8620425447502568,0.2840856998198686,0.4685534550395988,0.87109375,0.610040282730871,0.6403288774593411,0.609229120220916
sparse,16,final,covered_test,0.98046875,0.98046875,251,9,0.37678641048435113,0.7883431342533946,0.27567806014629576,0.4433080195195958,0.8764940239043825,0.629539162380686,0.6608569981912392,0.6136822419022984
sparse,16,final,deep_test,0.98046875,0.98046875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7371891300027476
sparse,16,final,deep_covered_test,0.98046875,0.98046875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7371891300027476
sparse,17,final,all_test,0.98828125,0.98828125,256,11,0.18637748486934588,0.6184487256725466,0.13646627606057068,0.34400087642384586,0.92578125,0.7455941041470756,0.7868482026958802,0.7447565189385359
sparse,17,final,covered_test,0.98828125,0.98828125,253,10,0.17556047138556607,0.5650478831613689,0.12860367335478293,0.32203518185256913,0.932806324110672,0.7626059994003888,0.8001265347718886,0.7489883413969322
sparse,17,final,deep_test,0.98828125,0.98828125,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9977766829160495
sparse,17,final,deep_covered_test,0.98828125,0.98828125,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9977766829160495
sparse,18,final,all_test,0.984375,0.984375,256,10,0.2740791231670399,0.6142646414932353,0.20068173637374878,0.36007700677140464,0.90234375,0.7107941540249787,0.7341650138741815,0.6771294706729073
sparse,18,final,covered_test,0.984375,0.984375,252,9,0.2564249130408041,0.5425990449109929,0.18784779812139568,0.3286006444440256,0.9126984126984127,0.735098773240587,0.7505423614370414,0.6816591384145718
sparse,18,final,deep_test,0.984375,0.984375,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.852304750575983
sparse,18,final,deep_covered_test,0.984375,0.984375,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.852304750575983
sparse,19,final,all_test,1.0,1.0,256,10,0.41684965989384315,0.90887176393136,0.305218845520457,0.4892292956364574,0.85546875,0.5887326323607316,0.5917937964837787,0.6151648224553019
sparse,19,final,covered_test,1.0,1.0,256,10,0.41684965989384315,0.90887176393136,0.305218845520457,0.4892292956364574,0.85546875,0.5887326323607316,0.5917937964837787,0.6151648224553019
sparse,19,final,deep_test,1.0,1.0,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.736391351483456
sparse,19,final,deep_covered_test,1.0,1.0,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.736391351483456
sparse,20,final,all_test,0.984375,0.984375,256,10,0.13752922089161174,0.5463436801922354,0.10069939852309244,0.3078764942227296,0.94140625,0.7822265381108654,0.8080720171304488,0.7445292443745597
sparse,20,final,covered_test,0.984375,0.984375,252,9,0.13078626972133878,0.4850684833383982,0.09569650157420757,0.281859265909858,0.9444444444444444,0.800541756917866,0.8282842446101657,0.7502375682658002
sparse,20,final,deep_test,0.984375,0.984375,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9976993165593558
sparse,20,final,deep_covered_test,0.984375,0.984375,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9976993165593558
