system_key,system_name,seed,dense_run_dir,status,current_coverage,family_count_retained,family_count_total,persistent_coverage,elapsed_seconds,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,restricted_residual_true,restricted_residual_null,restricted_residual_true_over_null
claude:var_diamond_4,claude_var_diamond_4,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_diamond_4/dt_0p03/seed_1/20260720-134140,eligible,1.0,4,4,0.984375,16.528183460235596,0.02904432000400402,0.04009067930121017,0.7244656491297541,0.020326174439846596,0.03202000396075421,0.634796125096039
claude:var_diamond_4,claude_var_diamond_4,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_diamond_4/dt_0p03/seed_2/20260720-134140,eligible,0.95947265625,6,9,0.9532470703125,7.4259538650512695,0.013696982416795615,0.022865562741537275,0.5990223189177785,0.00992670012141809,0.0184095994035132,0.5392132606385626
claude:var_l_shape_5,claude_var_l_shape_5,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_l_shape_5/dt_0p03/seed_0/20260720-134140,eligible,1.0,4,4,0.9801025390625,7.174153804779053,0.01707004394511396,0.03127529976963003,0.5457995309669221,0.011255901147783222,0.026062644972178858,0.43187869687817876
claude:var_l_shape_5,claude_var_l_shape_5,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_l_shape_5/dt_0p03/seed_1/20260720-134140,eligible,0.9893798828125,6,7,0.9693603515625,6.937431812286377,0.01142898773228095,0.02351852578501132,0.4859568085498285,0.00868384911899476,0.01988501264369147,0.43670322340728895
claude:var_l_shape_5,claude_var_l_shape_5,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_l_shape_5/dt_0p03/seed_2/20260720-134140,eligible,0.9869384765625,3,4,0.9808349609375,7.203289747238159,0.016876948628836843,0.035583858924742945,0.4742866327266601,0.01167756376961184,0.029741887086414044,0.3926302233507603
gated_local_linear,gated_local_linear,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/gated_local_linear/dt_0p04/seed_0/20260720-134140,ineligible,0.9234619140625,1,2,0.9189453125,6.037050247192383,0.015358474958732729,0.035056831695701784,0.43810219622943813,0.010670531124230814,0.02657573018235354,0.4015141277779873
gated_local_linear,gated_local_linear,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/gated_local_linear/dt_0p04/seed_1/20260720-134140,eligible,0.996337890625,3,4,0.9959716796875,10.398655652999878,0.011823607020865759,0.02323156484439074,0.5089457856180776,0.008601246335975749,0.018381105042053238,0.4679395670879077
gated_local_linear,gated_local_linear,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/gated_local_linear/dt_0p04/seed_2/20260720-134140,eligible,0.994384765625,3,4,0.993896484375,14.785590887069702,0.0195131710114426,0.022592465505056725,0.8637025917811003,0.012820453388333047,0.015091624690614133,0.8495078330636207
gated_transfer_linear,gated_transfer_linear,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/gated_transfer_linear/dt_0p04/seed_0/20260720-134140,ineligible,1.0,1,1,1.0,6.9650795459747314,0.004505760209413576,0.023399179802803663,0.19256060457613566,0.0032434478177521316,0.017944834680197617,0.18074548334130505
gated_transfer_linear,gated_transfer_linear,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/gated_transfer_linear/dt_0p04/seed_1/20260720-134140,eligible,1.0,3,3,0.9449462890625,6.430079936981201,0.01004368362251158,0.026234479566617865,0.38284287656659644,0.007830716542783629,0.02065401371178747,0.37913776237664415
gated_transfer_linear,gated_transfer_linear,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/gated_transfer_linear/dt_0p04/seed_2/20260720-134140,ineligible,1.0,1,1,1.0,6.643428802490234,0.010479421423186714,0.019700352594134975,0.5319408052781025,0.007377598653542813,0.016036808155058847,0.46004158572013176
