benchmark,condition,model,split,horizon,latent_dim,sparsity_coefficient,metric_name,mean,std,ci95_low,ci95_high,n,bootstrap_resamples
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,1,0,0.0,temporal_corr,0.9671021572053924,0.001996457292438939,0.9656904487155594,0.9685138656952252,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,10,0,0.0,autocorr_error,0.9999985098838806,2.5288109106536417e-07,0.9999983310699463,0.9999986886978149,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,10,0,0.0,max_abs_error,4.20835542678833,0.44456832984079114,3.893998146057129,4.522712707519531,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,10,0,0.0,nrmse,1.145599879951738,0.01794673075055939,1.1329096249378883,1.1582901349655876,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,10,0,0.0,power_spectrum_error,0.5359715223312378,0.011214349158081663,0.5280417799949646,0.543901264667511,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,10,0,0.0,relative_l2,1.1455998420715332,0.017946802445514852,1.1329095363616943,1.158290147781372,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,10,0,0.0,temporal_corr,0.3403211811186373,0.011767666004728818,0.33200018468795517,0.3486421775493195,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,5,0,0.0,autocorr_error,1.0,0.0,1.0,1.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,5,0,0.0,max_abs_error,3.9234302043914795,0.8259747181535803,3.3393778800964355,4.507482528686523,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,5,0,0.0,nrmse,0.7784742150060109,0.0065542511406278085,0.7738396595788734,0.7831087704331485,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,5,0,0.0,power_spectrum_error,0.2727879583835602,0.008965266880994823,0.2664485573768616,0.2791273593902588,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,5,0,0.0,relative_l2,0.7784741818904877,0.00655421426508062,0.7738396525382996,0.7831087112426758,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,5,0,0.0,temporal_corr,0.6953409213006215,0.0023698728655866344,0.6936651681268152,0.6970166744744278,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,avg_active_per_coord_1e2,1.0,0.0,1.0,1.0,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,avg_active_per_coord_1e3,1.0,0.0,1.0,1.0,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,avg_active_per_coord_1e4,14.875,0.0,14.875,14.875,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,effective_density_1e2,0.0625,0.0,0.0625,0.0625,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,effective_density_1e3,0.0625,0.0,0.0625,0.0625,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,effective_density_1e4,0.9296875,0.0,0.9296875,0.9296875,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,inference_time_seconds,0.0003266679123044014,0.0,0.0003266679123044014,0.0003266679123044014,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,k_l0_exact,0.0,0.0,0.0,0.0,1,2000
